,name,team,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,season,week,next_fp,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
34,Marvin Jones,Bengals,5.0,5.0,55.0,1.0,0.0,0.0,0.0,11.5,2015,13,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
35,A.J. Green,Bengals,9.0,6.0,132.0,1.0,0.0,0.0,0.0,19.2,2015,14,11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
36,Marvin Jones,Bengals,8.0,6.0,61.0,0.0,0.0,0.0,0.0,6.1,2015,14,8.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
37,A.J. Green,Bengals,9.0,5.0,57.0,1.0,0.0,0.0,0.0,11.7,2015,16,9.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
38,Adam Humphries,Buccaneers,5.0,5.0,55.0,0.0,0.0,0.0,0.0,5.5,2015,9,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
39,Mike Evans,Buccaneers,19.0,8.0,152.0,0.0,0.0,0.0,0.0,15.2,2015,9,12.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
40,Adam Humphries,Buccaneers,5.0,4.0,50.0,0.0,0.0,0.0,0.0,5.0,2015,11,6.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
41,Mike Evans,Buccaneers,7.0,4.0,63.0,1.0,0.0,0.0,0.0,12.3,2015,11,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
42,Vincent Jackson,Buccaneers,6.0,4.0,56.0,1.0,0.0,0.0,0.0,11.6,2015,11,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
43,Adam Humphries,Buccaneers,3.0,1.0,6.0,1.0,0.0,0.0,0.0,6.6,2015,14,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0
44,Adam Thielen,Vikings,5.0,4.0,57.0,0.0,0.0,0.0,0.0,5.7,2014,5,12.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
45,Adam Thielen,Vikings,3.0,3.0,68.0,1.0,0.0,0.0,0.0,12.8,2014,17,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
46,Greg Jennings,Vikings,5.0,3.0,45.0,0.0,0.0,0.0,0.0,4.5,2014,17,6.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
47,Adam Thielen,Vikings,8.0,6.0,70.0,0.0,0.0,0.0,0.0,7.0,2015,4,8.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
48,Mike Wallace,Vikings,10.0,8.0,83.0,1.0,0.0,0.0,0.0,14.3,2015,4,10.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
49,Stefon Diggs,Vikings,10.0,6.0,87.0,0.0,0.0,0.0,0.0,8.7,2015,4,12.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
50,Albert Wilson,Chiefs,8.0,4.0,53.0,0.0,0.0,0.0,0.0,5.3,2014,14,6.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
51,Albert Wilson,Chiefs,5.0,3.0,69.0,0.0,0.0,0.0,0.0,6.9,2014,15,8.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
52,Dwayne Bowe,Chiefs,7.0,3.0,69.0,0.0,0.0,0.0,0.0,6.9,2014,15,5.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
53,Albert Wilson,Chiefs,7.0,5.0,87.0,0.0,0.0,0.0,0.0,8.7,2014,16,11.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
54,Albert Wilson,Chiefs,6.0,3.0,57.0,1.0,0.0,0.0,0.0,11.7,2015,6,7.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
55,Albert Wilson,Chiefs,6.0,3.0,71.0,0.0,0.0,0.0,0.0,7.1,2015,7,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
56,Albert Wilson,Chiefs,4.0,4.0,56.0,0.0,0.0,0.0,0.0,5.6,2015,11,14.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
57,Allen Hurns,Jaguars,9.0,4.0,110.0,2.0,0.0,0.0,0.0,23.0,2014,1,12.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
58,Marqise Lee,Jaguars,10.0,6.0,62.0,0.0,0.0,0.0,0.0,6.2,2014,1,5.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
59,Allen Hurns,Jaguars,3.0,1.0,63.0,1.0,0.0,0.0,0.0,12.3,2014,3,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
60,Allen Robinson,Jaguars,10.0,7.0,79.0,0.0,0.0,0.0,0.0,7.9,2014,3,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
61,Cecil Shorts,Jaguars,10.0,5.0,35.0,1.0,0.0,0.0,0.0,9.5,2014,3,10.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
62,Allen Hurns,Jaguars,6.0,5.0,68.0,0.0,0.0,0.0,0.0,6.8,2014,4,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
63,Allen Hurns,Jaguars,4.0,3.0,49.0,0.0,0.0,0.0,0.0,4.9,2014,8,23.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
64,Allen Robinson,Jaguars,10.0,5.0,82.0,1.0,0.0,0.0,0.0,14.2,2014,8,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
65,Allen Hurns,Jaguars,9.0,7.0,112.0,2.0,0.0,0.0,0.0,23.2,2014,9,9.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
66,Cecil Shorts,Jaguars,7.0,5.0,40.0,0.0,0.0,0.0,0.0,4.0,2014,9,11.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
67,Allen Hurns,Jaguars,10.0,5.0,36.0,1.0,0.0,0.0,0.0,9.6,2014,14,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
68,Marqise Lee,Jaguars,8.0,5.0,67.0,0.0,1.0,4.0,0.0,7.1,2014,14,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
69,Allen Hurns,Jaguars,9.0,6.0,70.0,0.0,0.0,0.0,0.0,7.0,2014,15,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
70,Cecil Shorts,Jaguars,11.0,6.0,76.0,0.0,0.0,0.0,0.0,7.6,2014,15,4.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
71,Allen Hurns,Jaguars,7.0,5.0,60.0,0.0,0.0,0.0,0.0,6.0,2015,1,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
72,Rashad Greene,Jaguars,13.0,7.0,28.0,1.0,0.0,0.0,0.0,8.8,2015,1,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
73,Allen Hurns,Jaguars,4.0,4.0,68.0,0.0,0.0,0.0,0.0,6.8,2015,2,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
74,Allen Robinson,Jaguars,12.0,6.0,155.0,2.0,0.0,0.0,0.0,27.5,2015,2,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
75,Allen Hurns,Jaguars,4.0,2.0,70.0,1.0,0.0,0.0,0.0,13.0,2015,3,17.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
76,Allen Robinson,Jaguars,9.0,4.0,68.0,0.0,0.0,0.0,0.0,6.8,2015,3,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
77,Allen Hurns,Jaguars,15.0,11.0,116.0,1.0,0.0,0.0,0.0,17.6,2015,4,17.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
78,Allen Robinson,Jaguars,12.0,4.0,80.0,0.0,0.0,0.0,0.0,8.0,2015,4,19.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
79,Allen Hurns,Jaguars,6.0,5.0,116.0,1.0,0.0,0.0,0.0,17.6,2015,5,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
80,Allen Robinson,Jaguars,9.0,7.0,72.0,2.0,0.0,0.0,0.0,19.2,2015,5,14.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
81,Bryan Walters,Jaguars,4.0,4.0,64.0,0.0,0.0,0.0,0.0,6.4,2015,5,8.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
82,Allen Hurns,Jaguars,7.0,2.0,30.0,1.0,0.0,0.0,0.0,9.0,2015,6,11.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
83,Allen Robinson,Jaguars,12.0,6.0,86.0,1.0,0.0,0.0,0.0,14.6,2015,6,15.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
84,Bryan Walters,Jaguars,12.0,8.0,87.0,0.0,0.0,0.0,0.0,8.7,2015,6,11.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
85,Allen Hurns,Jaguars,8.0,2.0,53.0,1.0,0.0,0.0,0.0,11.3,2015,7,18.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
86,Allen Robinson,Jaguars,9.0,6.0,98.0,1.0,0.0,0.0,0.0,15.8,2015,7,12.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
87,Allen Hurns,Jaguars,8.0,5.0,122.0,1.0,0.0,0.0,0.0,18.2,2015,9,12.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
88,Allen Robinson,Jaguars,11.0,6.0,121.0,0.0,0.0,0.0,0.0,12.1,2015,9,11.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
89,Allen Hurns,Jaguars,9.0,5.0,62.0,1.0,0.0,0.0,0.0,12.2,2015,10,16.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
90,Allen Robinson,Jaguars,11.0,5.0,51.0,1.0,0.0,0.0,0.0,11.1,2015,10,11.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
91,Allen Hurns,Jaguars,4.0,3.0,105.0,1.0,0.0,0.0,0.0,16.5,2015,14,22.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
92,Allen Robinson,Jaguars,4.0,1.0,4.0,1.0,0.0,0.0,0.0,6.4,2015,14,11.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
93,Allen Robinson,Jaguars,6.0,4.0,75.0,0.0,0.0,0.0,0.0,7.5,2014,2,7.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
94,Allen Robinson,Jaguars,11.0,5.0,51.0,0.0,0.0,0.0,0.0,5.1,2014,5,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
95,Allen Robinson,Jaguars,9.0,8.0,68.0,0.0,0.0,0.0,0.0,6.8,2014,6,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
96,Cecil Shorts,Jaguars,16.0,10.0,103.0,0.0,0.0,0.0,0.0,10.3,2014,6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
97,Allen Robinson,Jaguars,7.0,4.0,60.0,1.0,0.0,0.0,0.0,12.0,2014,7,14.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
98,Allen Robinson,Jaguars,10.0,5.0,60.0,0.0,0.0,0.0,0.0,6.0,2014,10,27.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
