,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp,rush_att,rush_yd,rush_td
743,Coby Fleener,NO,1,3,2,10,0,1.0,1.0,2016,15,3.0,,,
782,Coby Fleener,NO,1,3,2,30,0,3.0,3.0,2016,16,3.8,,,
824,Coby Fleener,NO,1,8,3,38,0,3.8,3.8,2016,17,11.4,,,
853,Coby Fleener,NO,1,6,5,54,1,11.4,11.4,2017,1,9.3,,,
908,Coby Fleener,NO,1,4,3,33,1,9.3,9.3,2017,2,2.1,,,
974,Coby Fleener,NO,1,1,1,21,0,2.1,2.1,2017,3,2.1,,,
1034,Coby Fleener,NO,1,4,2,21,0,2.1,2.1,2017,4,0.0,,,
1145,Coby Fleener,NO,1,1,0,0,0,0.0,0.0,2017,6,2.2,,,
1180,Coby Fleener,NO,1,3,2,22,0,2.2,2.2,2017,7,4.6,,,
1267,Coby Fleener,NO,1,2,2,46,0,4.6,4.6,2017,9,0.0,,,
1344,Coby Fleener,NO,1,1,0,0,0,0.0,0.0,2017,10,9.1,,,
1356,Coby Fleener,NO,1,5,5,91,0,9.1,9.1,2017,11,0.8,,,
1444,Coby Fleener,NO,1,2,1,8,0,0.8,0.8,2017,12,,,,
48,Cole Wick,DET,1,1,1,5,0,0.5,0.5,2016,1,1.3,,,
139,Cole Wick,DET,1,1,1,13,0,1.3,1.3,2016,3,,,,
47,Crockett Gillmore,BAL,1,1,1,5,0,0.5,0.5,2016,1,2.2,,,
87,Crockett Gillmore,BAL,1,3,1,22,0,2.2,2.2,2016,2,1.6,,,
182,Crockett Gillmore,BAL,1,2,2,16,0,1.6,1.6,2016,4,8.8,,,
208,Crockett Gillmore,BAL,1,7,4,28,1,8.8,8.8,2016,5,,,,
558,Daniel Brown,CHI,1,4,3,24,1,8.4,8.4,2016,12,1.3,,,
636,Daniel Brown,CHI,1,2,2,13,0,1.3,1.3,2016,13,4.2,,,
666,Daniel Brown,CHI,1,6,6,42,0,4.2,4.2,2016,14,0.8,,,
748,Daniel Brown,CHI,1,2,1,8,0,0.8,0.8,2016,15,1.9,,,
790,Daniel Brown,CHI,1,4,2,19,0,1.9,1.9,2016,16,1.8,,,
831,Daniel Brown,CHI,1,2,2,18,0,1.8,1.8,2016,17,0.9,,,
1242,Daniel Brown,CHI,1,1,1,9,0,0.9,0.9,2017,8,2.3,,,
1323,Daniel Brown,CHI,1,3,2,23,0,2.3,2.3,2017,10,2.3,,,
1375,Daniel Brown,CHI,1,5,2,23,0,2.3,2.3,2017,11,2.0,,,
1429,Daniel Brown,CHI,1,3,2,20,0,2.0,2.0,2017,12,1.3,,,
1493,Daniel Brown,CHI,1,1,1,13,0,1.3,1.3,2017,13,0.9,,,
1540,Daniel Brown,CHI,1,2,2,9,0,0.9,0.9,2017,14,3.2,,,
1575,Daniel Brown,CHI,1,4,3,32,0,3.2,3.2,2017,15,,,,
995,Darrell Daniels,IND,1,1,1,6,0,0.6,0.6,2017,3,1.3,,,
1090,Darrell Daniels,IND,1,4,1,13,0,1.3,1.3,2017,5,0.7,,,
1195,Darrell Daniels,IND,1,3,1,7,0,0.7,0.7,2017,7,0.0,,,
1341,Darrell Daniels,IND,1,2,0,0,0,0.0,0.0,2017,10,,,,
79,Darren Fells,ARI,1,5,4,31,0,3.1,3.1,2016,2,1.5,,,
133,Darren Fells,ARI,1,2,2,15,0,1.5,1.5,2016,3,0.7,,,
191,Darren Fells,ARI,1,2,2,7,0,0.7,0.7,2016,4,0.8,,,
296,Darren Fells,ARI,1,1,1,8,0,0.8,0.8,2016,6,2.2,,,
525,Darren Fells,ARI,1,1,1,22,0,2.2,2.2,2016,11,0.9,,,
640,Darren Fells,ARI,1,1,1,9,0,0.9,0.9,2016,13,1.2,,,
690,Darren Fells,ARI,1,3,1,12,0,1.2,1.2,2016,14,1.3,,,
737,Darren Fells,ARI,1,1,1,13,0,1.3,1.3,2016,15,9.7,,,
806,Darren Fells,ARI,1,2,1,37,1,9.7,9.7,2016,17,0.8,,,
991,Darren Fells,DET,1,1,1,8,0,0.8,0.8,2017,3,4.0,,,
1023,Darren Fells,DET,1,5,4,40,0,4.0,4.0,2017,4,14.4,,,
1051,Darren Fells,DET,1,2,2,24,2,14.4,14.4,2017,5,8.6,,,
1109,Darren Fells,DET,1,4,2,26,1,8.6,8.6,2017,6,1.2,,,
1235,Darren Fells,DET,1,3,1,12,0,1.2,1.2,2017,8,1.0,,,
1283,Darren Fells,DET,1,1,1,10,0,1.0,1.0,2017,9,0.0,,,
1343,Darren Fells,DET,1,1,0,0,0,0.0,0.0,2017,10,0.9,,,
1388,Darren Fells,DET,1,1,1,9,0,0.9,0.9,2017,11,2.3,,,
1521,Darren Fells,DET,1,1,1,23,0,2.3,2.3,2017,14,1.2,,,
1679,Darren Fells,DET,1,1,1,12,0,1.2,1.2,2017,17,,,,
432,Darren Waller,BAL,1,3,2,17,0,1.7,1.7,2016,9,7.4,,,
460,Darren Waller,BAL,1,2,2,14,1,7.4,7.4,2016,10,1.4,,,
588,Darren Waller,BAL,1,2,2,14,0,1.4,1.4,2016,12,1.5,,,
633,Darren Waller,BAL,1,2,1,15,0,1.5,1.5,2016,13,6.3,,,
660,Darren Waller,BAL,1,3,1,3,1,6.3,6.3,2016,14,1.1,,,
742,Darren Waller,BAL,1,2,1,11,0,1.1,1.1,2016,15,1.1,,,
797,Darren Waller,BAL,1,2,1,11,0,1.1,1.1,2016,16,,,,
173,David Johnson,PIT,1,1,1,26,0,2.6,2.6,2016,4,0.5,,,
343,David Johnson,PIT,1,1,1,5,0,0.5,0.5,2016,7,1.5,,,
435,David Johnson,PIT,1,2,1,15,0,1.5,1.5,2016,9,0.2,,,
496,David Johnson,PIT,1,1,1,2,0,0.2,0.2,2016,10,0.0,,,
548,David Johnson,PIT,1,0,0,0,0,0.0,0.0,2016,11,1.5,,,
688,David Johnson,PIT,1,1,1,15,0,1.5,1.5,2016,14,1.2,,,
740,David Johnson,PIT,1,1,1,12,0,1.2,1.2,2016,15,,,,
1218,David Morgan,MIN,1,3,3,28,0,2.8,2.8,2017,8,6.1,,,
1316,David Morgan,MIN,1,1,1,1,1,6.1,6.1,2017,10,0.5,,,
1399,David Morgan,MIN,1,1,1,5,0,0.5,0.5,2017,11,2.6,,,
1625,David Morgan,MIN,1,2,2,26,0,2.6,2.6,2017,16,3.5,,,
1665,David Morgan,MIN,1,3,3,35,0,3.5,3.5,2017,17,,,,
878,David Njoku,CLE,1,2,2,20,0,2.0,2.0,2017,1,8.7,,,
911,David Njoku,CLE,1,4,3,27,1,8.7,8.7,2017,2,7.2,,,
962,David Njoku,CLE,1,4,2,12,1,7.2,7.2,2017,3,1.1,,,
1045,David Njoku,CLE,1,2,2,11,0,1.1,1.1,2017,4,10.9,,,
1055,David Njoku,CLE,1,3,3,48,1,10.9,10.9,2017,5,5.8,,,
1168,David Njoku,CLE,1,5,2,58,0,5.8,5.8,2017,7,1.9,,,
1228,David Njoku,CLE,1,7,2,19,0,1.9,1.9,2017,8,0.3,,,
1339,David Njoku,CLE,1,6,1,3,0,0.3,0.3,2017,10,1.3,,,
1381,David Njoku,CLE,1,1,1,13,0,1.3,1.3,2017,11,4.7,,,
1415,David Njoku,CLE,1,4,4,47,0,4.7,4.7,2017,12,13.4,,,
1455,David Njoku,CLE,1,6,4,74,1,13.4,13.4,2017,13,1.3,,,
1635,David Njoku,CLE,1,3,1,13,0,1.3,1.3,2017,16,3.8,,,
1661,David Njoku,CLE,1,3,2,38,0,3.8,3.8,2017,17,,,,
17,Delanie Walker,TEN,1,5,3,42,0,4.2,4.2,2016,1,14.3,,,
52,Delanie Walker,TEN,1,6,6,83,1,14.3,14.3,2016,2,3.4,,,
172,Delanie Walker,TEN,1,8,2,34,0,3.4,3.4,2016,4,12.6,,,
203,Delanie Walker,TEN,1,8,5,66,1,12.6,12.6,2016,5,2.1,,,
282,Delanie Walker,TEN,1,2,1,21,0,2.1,2.1,2016,6,14.4,,,
301,Delanie Walker,TEN,1,8,7,84,1,14.4,14.4,2016,7,7.8,,,
362,Delanie Walker,TEN,1,5,4,75,0,7.8,7.8,2016,8,10.2,,,
408,Delanie Walker,TEN,1,9,5,42,1,10.2,10.2,2016,9,18.4,,,
450,Delanie Walker,TEN,1,11,9,124,1,18.4,18.4,2016,10,3.6,,,
518,Delanie Walker,TEN,1,6,4,36,0,3.6,3.6,2016,11,11.0,,,
554,Delanie Walker,TEN,1,4,3,50,1,11.0,11.0,2016,12,3.8,,,
667,Delanie Walker,TEN,1,7,2,30,0,3.8,3.8,2016,14,5.5,,,
714,Delanie Walker,TEN,1,7,6,55,0,5.5,5.5,2016,15,8.3,,,
758,Delanie Walker,TEN,1,8,3,23,1,8.3,8.3,2016,16,3.5,,,
825,Delanie Walker,TEN,1,8,5,35,0,3.5,3.5,2016,17,7.6,,,
857,Delanie Walker,TEN,1,9,7,76,0,7.6,7.6,2017,1,12.2,,,
903,Delanie Walker,TEN,1,4,4,61,0,12.2,12.2,2017,2,3.1,,,
970,Delanie Walker,TEN,1,6,4,31,0,3.1,3.1,2017,3,5.1,,,
1016,Delanie Walker,TEN,1,7,3,51,0,5.1,5.1,2017,4,2.5,,,
1075,Delanie Walker,TEN,1,5,3,25,0,2.5,2.5,2017,5,1.4,,,
1135,Delanie Walker,TEN,1,8,4,17,0,1.4,1.4,2017,6,6.3,,,
1166,Delanie Walker,TEN,1,10,7,63,0,6.3,6.3,2017,7,7.1,,,
1259,Delanie Walker,TEN,1,5,5,71,0,7.1,7.1,2017,9,6.3,,,
1315,Delanie Walker,TEN,1,9,6,63,0,6.3,6.3,2017,10,9.2,,,
1355,Delanie Walker,TEN,1,9,6,92,0,9.2,9.2,2017,11,12.3,,,
1405,Delanie Walker,TEN,1,5,4,63,1,12.3,12.3,2017,12,12.3,,,
1456,Delanie Walker,TEN,1,5,5,63,1,12.3,12.3,2017,13,4.2,,,
1517,Delanie Walker,TEN,1,9,5,42,0,4.2,4.2,2017,14,9.7,,,
1558,Delanie Walker,TEN,1,10,5,37,1,9.7,9.7,2017,15,3.3,,,
1620,Delanie Walker,TEN,1,5,3,33,0,3.3,3.3,2017,16,1.9,,,
1673,Delanie Walker,TEN,1,5,3,19,0,1.9,1.9,2017,17,,,,
31,Demetrius Harris,KC,1,3,2,20,0,2.0,2.0,2016,1,1.4,,,
134,Demetrius Harris,KC,1,3,2,14,0,1.4,1.4,2016,3,1.2,,,
184,Demetrius Harris,KC,1,1,1,12,0,1.2,1.2,2016,4,1.1,,,
293,Demetrius Harris,KC,1,2,1,11,0,1.1,1.1,2016,6,1.0,,,
334,Demetrius Harris,KC,1,3,1,10,0,1.0,1.0,2016,7,1.3,,,
383,Demetrius Harris,KC,1,4,3,13,0,1.3,1.3,2016,8,0.0,,,
447,Demetrius Harris,KC,1,1,0,0,0,0.0,0.0,2016,9,0.0,,,
497,Demetrius Harris,KC,1,1,0,0,0,0.0,0.0,2016,10,0.6,,,
647,Demetrius Harris,KC,1,1,1,6,0,0.6,0.6,2016,13,9.7,,,
754,Demetrius Harris,KC,1,9,6,37,1,9.7,9.7,2016,16,7.5,,,
858,Demetrius Harris,KC,1,2,2,15,1,7.5,7.5,2017,1,2.1,,,
1081,Demetrius Harris,KC,1,3,3,21,0,2.1,2.1,2017,5,0.0,,,
1146,Demetrius Harris,KC,1,2,0,0,0,0.0,0.0,2017,6,1.6,,,
1185,Demetrius Harris,KC,1,3,2,16,0,1.6,1.6,2017,7,0.0,,,
1249,Demetrius Harris,KC,1,2,0,0,0,0.0,0.0,2017,8,0.0,,,
1297,Demetrius Harris,KC,1,1,0,0,0,0.0,0.0,2017,9,3.3,,,
1423,Demetrius Harris,KC,1,2,2,33,0,3.3,3.3,2017,12,2.5,,,
1520,Demetrius Harris,KC,1,3,1,25,0,2.5,2.5,2017,14,3.4,,,
1619,Demetrius Harris,KC,1,7,4,34,0,3.4,3.4,2017,16,7.3,,,
1655,Demetrius Harris,KC,1,4,3,73,0,7.3,7.3,2017,17,,,,
20,Dennis Pitta,BAL,1,4,3,39,0,3.9,3.9,2016,1,10.2,,,
58,Dennis Pitta,BAL,1,12,9,102,0,10.2,10.2,2016,2,4.2,,,
118,Dennis Pitta,BAL,1,8,6,42,0,4.2,4.2,2016,3,1.7,,,
181,Dennis Pitta,BAL,1,5,3,17,0,1.7,1.7,2016,4,5.9,,,
214,Dennis Pitta,BAL,1,8,7,59,0,5.9,5.9,2016,5,3.6,,,
270,Dennis Pitta,BAL,1,10,6,36,0,3.6,3.6,2016,6,4.0,,,
314,Dennis Pitta,BAL,1,10,4,40,0,4.0,4.0,2016,7,1.4,,,
436,Dennis Pitta,BAL,1,3,2,14,0,1.4,1.4,2016,9,2.6,,,
483,Dennis Pitta,BAL,1,6,6,26,0,2.6,2.6,2016,10,3.0,,,
521,Dennis Pitta,BAL,1,5,3,30,0,3.0,3.0,2016,11,3.4,,,
577,Dennis Pitta,BAL,1,5,3,34,0,3.4,3.4,2016,12,21.0,,,
601,Dennis Pitta,BAL,1,11,9,90,2,21.0,21.0,2016,13,1.8,,,
682,Dennis Pitta,BAL,1,5,4,18,0,1.8,1.8,2016,14,1.6,,,
732,Dennis Pitta,BAL,1,2,2,16,0,1.6,1.6,2016,15,7.5,,,
764,Dennis Pitta,BAL,1,11,8,75,0,7.5,7.5,2016,16,9.1,,,
809,Dennis Pitta,BAL,1,16,11,91,0,9.1,9.1,2016,17,,,,
645,Derek Carrier,WAS,1,1,1,6,0,0.6,0.6,2016,13,1.2,,,
887,Derek Carrier,LAR,1,2,1,12,0,1.2,1.2,2017,1,0.9,,,
946,Derek Carrier,LAR,1,1,1,9,0,0.9,0.9,2017,2,1.7,,,
978,Derek Carrier,LAR,1,1,1,17,0,1.7,1.7,2017,3,0.5,,,
1290,Derek Carrier,LAR,1,1,1,5,0,0.5,0.5,2017,9,1.4,,,
1492,Derek Carrier,LAR,1,1,1,14,0,1.4,1.4,2017,13,1.0,,,
1683,Derek Carrier,LAR,1,2,2,10,0,1.0,1.0,2017,17,,,,
88,Dion Sims,MIA,1,1,1,21,0,2.1,2.1,2016,2,4.6,,,
117,Dion Sims,MIA,1,4,4,46,0,4.6,4.6,2016,3,0.9,,,
189,Dion Sims,MIA,1,2,1,9,0,0.9,0.9,2016,4,0.6,,,
235,Dion Sims,MIA,1,3,1,6,0,0.6,0.6,2016,5,1.2,,,
291,Dion Sims,MIA,1,2,1,12,0,1.2,1.2,2016,6,2.0,,,
527,Dion Sims,MIA,1,4,3,20,0,2.0,2.0,2016,11,11.3,,,
552,Dion Sims,MIA,1,4,4,53,1,11.3,11.3,2016,12,3.9,,,
618,Dion Sims,MIA,1,4,3,39,0,3.9,3.9,2016,13,6.9,,,
658,Dion Sims,MIA,1,2,2,9,1,6.9,6.9,2016,14,15.1,,,
700,Dion Sims,MIA,1,4,4,31,2,15.1,15.1,2016,15,3.1,,,
873,Dion Sims,CHI,1,3,2,31,0,3.1,3.1,2017,1,0.8,,,
1049,Dion Sims,CHI,1,1,1,8,0,0.8,0.8,2017,4,1.7,,,
1084,Dion Sims,CHI,1,4,1,17,0,1.7,1.7,2017,5,10.2,,,
1106,Dion Sims,CHI,1,4,2,42,1,10.2,10.2,2017,6,1.5,,,
1232,Dion Sims,CHI,1,5,3,15,0,1.5,1.5,2017,8,3.2,,,
1518,Dion Sims,CHI,1,3,2,32,0,3.2,3.2,2017,14,0.9,,,
1597,Dion Sims,CHI,1,1,1,9,0,0.9,0.9,2017,15,2.4,,,
1626,Dion Sims,CHI,1,3,1,24,0,2.4,2.4,2017,16,,,,
241,Dominique Jones,MIA,1,2,2,4,0,0.4,0.4,2016,5,0.8,,,
297,Dominique Jones,MIA,1,2,1,8,0,0.8,0.8,2016,6,10.2,,,
407,Dominique Jones,MIA,1,4,3,42,1,10.2,10.2,2016,9,0.0,,,
499,Dominique Jones,MIA,1,1,0,0,0,0.0,0.0,2016,10,0.7,,,
644,Dominique Jones,MIA,1,1,1,7,0,0.7,0.7,2016,13,,,,
2,Dwayne Allen,IND,1,6,4,53,1,11.3,11.3,2016,1,2.5,,,
83,Dwayne Allen,IND,1,4,2,25,0,2.5,2.5,2016,2,3.5,,,
119,Dwayne Allen,IND,1,5,3,35,0,3.5,3.5,2016,3,2.0,,,
175,Dwayne Allen,IND,1,4,2,20,0,2.0,2.0,2016,4,11.0,,,
204,Dwayne Allen,IND,1,6,6,50,1,11.0,11.0,2016,5,0.9,,,
294,Dwayne Allen,IND,1,2,1,9,0,0.9,0.9,2016,6,1.5,,,
434,Dwayne Allen,IND,1,2,1,15,0,1.5,1.5,2016,9,0.0,,,
543,Dwayne Allen,IND,1,2,0,0,0,0.0,0.0,2016,11,4.9,,,
568,Dwayne Allen,IND,1,6,5,49,0,4.9,4.9,2016,12,25.2,,,
600,Dwayne Allen,IND,1,4,4,72,3,25.2,25.2,2016,13,1.3,,,
736,Dwayne Allen,IND,1,2,1,13,0,1.3,1.3,2016,15,3.1,,,
781,Dwayne Allen,IND,1,4,3,31,0,3.1,3.1,2016,16,9.4,,,
807,Dwayne Allen,IND,1,3,3,34,1,9.4,9.4,2016,17,0.0,,,
896,Dwayne Allen,NE,1,2,0,0,0,0.0,0.0,2017,1,7.1,,,
1310,Dwayne Allen,NE,1,2,1,11,1,7.1,7.1,2017,10,2.4,,,
1374,Dwayne Allen,NE,1,2,2,24,0,2.4,2.4,2017,11,0.2,,,
1448,Dwayne Allen,NE,1,2,1,2,0,0.2,0.2,2017,12,1.0,,,
1538,Dwayne Allen,NE,1,5,2,10,0,1.0,1.0,2017,14,1.0,,,
1595,Dwayne Allen,NE,1,1,1,10,0,1.0,1.0,2017,15,2.6,,,
1623,Dwayne Allen,NE,1,2,2,26,0,2.6,2.6,2017,16,,,,
127,Ed Dickson,CAR,1,1,1,23,0,2.3,2.3,2016,3,1.7,,,
180,Ed Dickson,CAR,1,2,2,17,0,1.7,1.7,2016,4,8.3,,,
260,Ed Dickson,CAR,1,4,3,23,1,8.3,8.3,2016,6,1.7,,,
431,Ed Dickson,CAR,1,3,2,17,0,1.7,1.7,2016,9,2.6,,,
480,Ed Dickson,CAR,1,2,1,26,0,2.6,2.6,2016,10,0.0,,,
545,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0,2016,11,2.8,,,
727,Ed Dickson,CAR,1,1,1,28,0,2.8,2.8,2016,15,0.0,,,
849,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0,2016,17,0.0,,,
898,Ed Dickson,CAR,1,1,0,0,0,0.0,0.0,2017,1,2.6,,,
926,Ed Dickson,CAR,1,3,2,26,0,2.6,2.6,2017,2,0.8,,,
990,Ed Dickson,CAR,1,1,1,8,0,0.8,0.8,2017,3,6.2,,,
1013,Ed Dickson,CAR,1,4,3,62,0,6.2,6.2,2017,4,17.5,,,
1050,Ed Dickson,CAR,1,5,5,175,0,17.5,17.5,2017,5,3.6,,,
1122,Ed Dickson,CAR,1,8,4,36,0,3.6,3.6,2017,6,1.8,,,
1182,Ed Dickson,CAR,1,5,3,18,0,1.8,1.8,2017,7,2.4,,,
1222,Ed Dickson,CAR,1,5,4,24,0,2.4,2.4,2017,8,0.0,,,
1295,Ed Dickson,CAR,1,2,0,0,0,0.0,0.0,2017,9,9.3,,,
1305,Ed Dickson,CAR,1,5,3,33,1,9.3,9.3,2017,10,1.5,,,
1434,Ed Dickson,CAR,1,3,1,15,0,1.5,1.5,2017,12,1.8,,,
1485,Ed Dickson,CAR,1,2,2,18,0,1.8,1.8,2017,13,2.2,,,
1671,Ed Dickson,CAR,1,3,2,22,0,2.2,2.2,2017,17,,,,
3,Eric Ebron,DET,1,5,5,46,1,10.6,10.6,2016,1,5.3,,,
68,Eric Ebron,DET,1,7,4,53,0,5.3,5.3,2016,2,6.9,,,
107,Eric Ebron,DET,1,8,5,69,0,6.9,6.9,2016,3,4.2,,,
171,Eric Ebron,DET,1,5,4,42,0,4.2,4.2,2016,4,7.9,,,
361,Eric Ebron,DET,1,10,7,79,0,7.9,7.9,2016,8,9.2,,,
410,Eric Ebron,DET,1,8,7,92,0,9.2,9.2,2016,9,13.1,,,
501,Eric Ebron,DET,1,5,3,70,0,13.1,13.1,2016,11,3.8,,,
619,Eric Ebron,DET,1,6,4,38,0,3.8,3.8,2016,13,3.2,,,
669,Eric Ebron,DET,1,5,4,32,0,3.2,3.2,2016,14,3.6,,,
720,Eric Ebron,DET,1,7,4,36,0,3.6,3.6,2016,15,9.3,,,
756,Eric Ebron,DET,1,12,8,93,0,9.3,9.3,2016,16,6.1,,,
819,Eric Ebron,DET,1,6,6,61,0,6.1,6.1,2016,17,0.9,,,
890,Eric Ebron,DET,1,3,2,9,0,0.9,0.9,2017,1,10.2,,,
905,Eric Ebron,DET,1,5,5,42,1,10.2,10.2,2017,2,0.9,,,
988,Eric Ebron,DET,1,7,2,9,0,0.9,0.9,2017,3,2.7,,,
1033,Eric Ebron,DET,1,4,2,27,0,2.7,2.7,2017,4,0.6,,,
1096,Eric Ebron,DET,1,4,1,6,0,0.6,0.6,2017,5,0.9,,,
1141,Eric Ebron,DET,1,3,1,9,0,0.9,0.9,2017,6,5.8,,,
1211,Eric Ebron,DET,1,6,2,58,0,5.8,5.8,2017,8,3.5,,,
1272,Eric Ebron,DET,1,4,3,35,0,3.5,3.5,2017,9,9.9,,,
1304,Eric Ebron,DET,1,3,2,39,1,9.9,9.9,2017,10,4.9,,,
1365,Eric Ebron,DET,1,7,4,49,0,4.9,4.9,2017,11,3.4,,,
1420,Eric Ebron,DET,1,4,4,34,0,3.4,3.4,2017,12,3.8,,,
1469,Eric Ebron,DET,1,4,4,38,0,3.8,3.8,2017,13,9.4,,,
1508,Eric Ebron,DET,1,11,10,94,0,9.4,9.4,2017,14,9.3,,,
1559,Eric Ebron,DET,1,7,5,33,1,9.3,9.3,2017,15,14.3,,,
1600,Eric Ebron,DET,1,8,5,83,1,14.3,14.3,2017,16,0.9,,,
1688,Eric Ebron,DET,1,6,1,9,0,0.9,0.9,2017,17,,,,
875,Eric Tomlinson,NYJ,1,2,2,25,0,2.5,2.5,2017,1,3.4,,,
1071,Eric Tomlinson,NYJ,1,1,1,34,0,3.4,3.4,2017,5,2.6,,,
1179,Eric Tomlinson,NYJ,1,1,1,26,0,2.6,2.6,2017,7,8.0,,,
1208,Eric Tomlinson,NYJ,1,1,1,20,1,8.0,8.0,2017,8,0.6,,,
1289,Eric Tomlinson,NYJ,1,2,1,6,0,0.6,0.6,2017,9,1.0,,,
1685,Eric Tomlinson,NYJ,1,2,2,10,0,1.0,1.0,2017,17,,,,
267,Erik Swoope,IND,1,3,2,42,0,4.2,4.2,2016,6,5.1,,,
310,Erik Swoope,IND,1,5,2,51,0,5.1,5.1,2016,7,3.0,,,
377,Erik Swoope,IND,1,3,2,30,0,3.0,3.0,2016,8,0.7,,,
444,Erik Swoope,IND,1,1,1,7,0,0.7,0.7,2016,9,3.5,,,
576,Erik Swoope,IND,1,2,1,35,0,3.5,3.5,2016,12,1.5,,,
632,Erik Swoope,IND,1,3,2,15,0,1.5,1.5,2016,13,11.0,,,
703,Erik Swoope,IND,1,3,3,50,1,11.0,11.0,2016,15,4.5,,,
772,Erik Swoope,IND,1,1,1,45,0,4.5,4.5,2016,16,2.2,,,
827,Erik Swoope,IND,1,1,1,22,0,2.2,2.2,2016,17,,,,
861,Evan Engram,NYG,1,5,4,44,0,4.4,4.4,2017,1,10.9,,,
904,Evan Engram,NYG,1,7,4,49,1,10.9,10.9,2017,2,4.5,,,
967,Evan Engram,NYG,1,7,5,45,0,4.5,4.5,2017,3,6.2,,,
1014,Evan Engram,NYG,1,11,6,62,0,6.2,6.2,2017,4,14.2,,,
1101,Evan Engram,NYG,1,7,5,82,1,14.2,14.2,2017,6,12.0,,,
1153,Evan Engram,NYG,1,12,6,60,1,12.0,12.0,2017,7,13.0,,,
1252,Evan Engram,NYG,1,10,4,70,1,13.0,13.0,2017,9,9.1,,,
1306,Evan Engram,NYG,1,9,6,31,1,9.1,9.1,2017,10,0.9,,,
1387,Evan Engram,NYG,1,6,1,9,0,0.9,0.9,2017,11,1.8,,,
1430,Evan Engram,NYG,1,7,3,18,0,1.8,1.8,2017,12,15.9,,,
1452,Evan Engram,NYG,1,8,7,99,1,15.9,15.9,2017,13,5.4,,,
1515,Evan Engram,NYG,1,7,4,54,0,5.4,5.4,2017,14,10.1,,,
1557,Evan Engram,NYG,1,13,8,87,0,10.1,10.1,2017,15,1.2,,,
1639,Evan Engram,NYG,1,2,1,12,0,1.2,1.2,2017,16,,,,
35,Garrett Celek,SF,1,4,1,15,0,1.5,1.5,2016,1,1.2,,,
94,Garrett Celek,SF,1,2,1,12,0,1.2,1.2,2016,2,2.5,,,
125,Garrett Celek,SF,1,4,3,25,0,2.5,2.5,2016,3,7.9,,,
160,Garrett Celek,SF,1,5,5,79,0,7.9,7.9,2016,4,0.4,,,
239,Garrett Celek,SF,1,6,1,4,0,0.4,0.4,2016,5,0.4,,,
346,Garrett Celek,SF,1,3,1,4,0,0.4,0.4,2016,7,7.6,,,
413,Garrett Celek,SF,1,6,4,76,0,7.6,7.6,2016,9,4.1,,,
514,Garrett Celek,SF,1,3,3,41,0,4.1,4.1,2016,11,7.9,,,
560,Garrett Celek,SF,1,3,2,19,1,7.9,7.9,2016,12,8.2,,,
709,Garrett Celek,SF,1,6,2,22,1,8.2,8.2,2016,15,3.9,,,
776,Garrett Celek,SF,1,7,4,39,0,3.9,3.9,2016,16,6.9,,,
817,Garrett Celek,SF,1,1,1,9,1,6.9,6.9,2016,17,6.1,,,
965,Garrett Celek,SF,1,2,1,1,1,6.1,6.1,2017,3,0.6,,,
1095,Garrett Celek,SF,1,1,1,6,0,0.6,0.6,2017,5,1.3,,,
1136,Garrett Celek,SF,1,2,1,13,0,1.3,1.3,2017,6,1.1,,,
1192,Garrett Celek,SF,1,1,1,11,0,1.1,1.1,2017,7,2.4,,,
1221,Garrett Celek,SF,1,2,1,24,0,2.4,2.4,2017,8,1.3,,,
1281,Garrett Celek,SF,1,4,1,13,0,1.3,1.3,2017,9,12.7,,,
1301,Garrett Celek,SF,1,6,4,67,1,12.7,12.7,2017,10,0.7,,,
1445,Garrett Celek,SF,1,2,2,7,0,0.7,0.7,2017,12,3.0,,,
1473,Garrett Celek,SF,1,4,2,30,0,3.0,3.0,2017,13,12.7,,,
1502,Garrett Celek,SF,1,4,2,67,1,12.7,12.7,2017,14,12.3,,,
1554,Garrett Celek,SF,1,3,3,63,1,12.3,12.3,2017,15,2.8,,,
1667,Garrett Celek,SF,1,1,1,28,0,2.8,2.8,2017,17,,,,
73,Gary Barnidge,CLE,1,5,4,37,0,3.7,3.7,2016,2,6.6,,,
110,Gary Barnidge,CLE,1,6,5,66,0,6.6,6.6,2016,3,5.7,,,
164,Gary Barnidge,CLE,1,7,7,57,0,5.7,5.7,2016,4,7.6,,,
210,Gary Barnidge,CLE,1,8,5,76,0,7.6,7.6,2016,5,5.9,,,
264,Gary Barnidge,CLE,1,5,3,59,0,5.9,5.9,2016,6,6.6,,,
306,Gary Barnidge,CLE,1,7,6,66,0,6.6,6.6,2016,7,4.2,,,
365,Gary Barnidge,CLE,1,7,3,42,0,4.2,4.2,2016,8,2.3,,,
427,Gary Barnidge,CLE,1,3,3,23,0,2.3,2.3,2016,9,0.8,,,
490,Gary Barnidge,CLE,1,4,1,8,0,0.8,0.8,2016,10,8.3,,,
508,Gary Barnidge,CLE,1,5,2,23,1,8.3,8.3,2016,11,1.1,,,
592,Gary Barnidge,CLE,1,3,1,11,0,1.1,1.1,2016,12,2.7,,,
672,Gary Barnidge,CLE,1,5,3,27,0,2.7,2.7,2016,14,3.5,,,
