,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp,rush_att,rush_yd,rush_td
62,Austin Hooper,ATL,1,3,3,84,0,8.4,8.4,2016,2,10.2,,,
157,Austin Hooper,ATL,1,1,1,42,1,10.2,10.2,2016,4,1.4,,,
227,Austin Hooper,ATL,1,1,1,14,0,1.4,1.4,2016,5,4.1,,,
366,Austin Hooper,ATL,1,5,5,41,0,4.1,4.1,2016,8,10.6,,,
405,Austin Hooper,ATL,1,6,3,46,1,10.6,10.6,2016,9,0.8,,,
492,Austin Hooper,ATL,1,3,1,8,0,0.8,0.8,2016,10,0.8,,,
598,Austin Hooper,ATL,1,2,2,8,0,0.8,0.8,2016,12,6.9,,,
713,Austin Hooper,ATL,1,1,1,9,1,6.9,6.9,2016,15,18.8,,,
850,Austin Hooper,ATL,1,2,2,128,1,18.8,18.8,2017,1,0.9,,,
989,Austin Hooper,ATL,1,2,1,9,0,0.9,0.9,2017,3,5.0,,,
1017,Austin Hooper,ATL,1,7,5,50,0,5.0,5.0,2017,4,4.8,,,
1117,Austin Hooper,ATL,1,9,7,48,0,4.8,4.8,2017,6,10.7,,,
1204,Austin Hooper,ATL,1,6,4,47,1,10.7,10.7,2017,8,3.6,,,
1271,Austin Hooper,ATL,1,6,3,36,0,3.6,3.6,2017,9,10.9,,,
1303,Austin Hooper,ATL,1,6,6,49,1,10.9,10.9,2017,10,3.8,,,
1418,Austin Hooper,ATL,1,5,3,38,0,3.8,3.8,2017,12,2.1,,,
1480,Austin Hooper,ATL,1,4,3,21,0,2.1,2.1,2017,13,2.3,,,
1522,Austin Hooper,ATL,1,4,2,23,0,2.3,2.3,2017,14,1.2,,,
1592,Austin Hooper,ATL,1,2,2,12,0,1.2,1.2,2017,15,1.8,,,
1629,Austin Hooper,ATL,1,4,3,18,0,1.8,1.8,2017,16,3.5,,,
1664,Austin Hooper,ATL,1,3,3,35,0,3.5,3.5,2017,17,,,,
4,Austin Seferian-Jenkins,TB,1,1,1,30,1,9.0,9.0,2016,1,1.4,,,
93,Austin Seferian-Jenkins,TB,1,2,2,14,0,1.4,1.4,2016,2,1.7,,,
224,Austin Seferian-Jenkins,NYJ,1,2,2,17,0,1.7,1.7,2016,5,0.9,,,
596,Austin Seferian-Jenkins,NYJ,1,2,1,9,0,0.9,0.9,2016,12,2.9,,,
624,Austin Seferian-Jenkins,NYJ,1,5,2,29,0,2.9,2.9,2016,13,3.5,,,
668,Austin Seferian-Jenkins,NYJ,1,3,3,35,0,3.5,3.5,2016,14,1.7,,,
791,Austin Seferian-Jenkins,NYJ,1,2,1,17,0,1.7,1.7,2016,16,3.1,,,
969,Austin Seferian-Jenkins,NYJ,1,6,5,31,0,3.1,3.1,2017,3,4.6,,,
1020,Austin Seferian-Jenkins,NYJ,1,4,4,46,0,4.6,4.6,2017,4,8.9,,,
1062,Austin Seferian-Jenkins,NYJ,1,8,6,29,1,8.9,8.9,2017,5,10.6,,,
1105,Austin Seferian-Jenkins,NYJ,1,11,8,46,1,10.6,10.6,2017,6,8.1,,,
1162,Austin Seferian-Jenkins,NYJ,1,5,3,21,1,8.1,8.1,2017,7,2.8,,,
1219,Austin Seferian-Jenkins,NYJ,1,5,5,28,0,2.8,2.8,2017,8,2.0,,,
1278,Austin Seferian-Jenkins,NYJ,1,2,2,20,0,2.0,2.0,2017,9,6.7,,,
1314,Austin Seferian-Jenkins,NYJ,1,9,6,67,0,6.7,6.7,2017,10,2.7,,,
1426,Austin Seferian-Jenkins,NYJ,1,7,2,27,0,2.7,2.7,2017,12,1.3,,,
1590,Austin Seferian-Jenkins,NYJ,1,2,2,13,0,1.3,1.3,2017,15,2.1,,,
1628,Austin Seferian-Jenkins,NYJ,1,8,4,21,0,2.1,2.1,2017,16,,,,
1368,Austin Traylor,DEN,1,5,4,36,0,3.6,3.6,2017,11,3.4,,,
1421,Austin Traylor,DEN,1,4,1,34,0,3.4,3.4,2017,12,1.6,,,
1490,Austin Traylor,DEN,1,2,2,16,0,1.6,1.6,2017,13,1.4,,,
1633,Austin Traylor,DEN,1,2,1,14,0,1.4,1.4,2017,16,,,,
386,Ben Braunecker,CHI,1,1,1,8,0,0.8,0.8,2016,8,1.4,,,
587,Ben Braunecker,CHI,1,2,1,14,0,1.4,1.4,2016,12,1.9,,,
789,Ben Braunecker,CHI,1,3,2,19,0,1.9,1.9,2016,16,,,,
367,Ben Koyack,JAC,1,5,5,41,0,4.1,4.1,2016,8,3.5,,,
475,Ben Koyack,JAC,1,3,3,35,0,3.5,3.5,2016,10,0.0,,,
549,Ben Koyack,JAC,1,1,0,0,0,0.0,0.0,2016,11,2.3,,,
581,Ben Koyack,JAC,1,2,2,23,0,2.3,2.3,2016,12,0.4,,,
649,Ben Koyack,JAC,1,3,1,4,0,0.4,0.4,2016,13,1.9,,,
679,Ben Koyack,JAC,1,2,2,19,0,1.9,1.9,2016,14,1.2,,,
796,Ben Koyack,JAC,1,2,2,12,0,1.2,1.2,2016,16,8.5,,,
811,Ben Koyack,JAC,1,4,3,25,1,8.5,8.5,2016,17,2.1,,,
1129,Ben Koyack,JAC,1,1,1,21,0,2.1,2.1,2017,6,0.7,,,
1197,Ben Koyack,JAC,1,1,1,7,0,0.7,0.7,2017,7,0.0,,,
1346,Ben Koyack,JAC,1,1,0,0,0,0.0,0.0,2017,10,1.0,,,
1643,Ben Koyack,JAC,1,2,2,10,0,1.0,1.0,2017,16,,,,
909,Ben Watson,BAL,1,8,8,91,0,9.1,9.1,2017,2,7.2,,,
963,Ben Watson,BAL,1,3,3,12,1,7.2,7.2,2017,3,4.3,,,
1022,Ben Watson,BAL,1,6,5,43,0,4.3,4.3,2017,4,2.8,,,
1124,Ben Watson,BAL,1,8,6,28,0,2.8,2.8,2017,6,3.8,,,
1174,Ben Watson,BAL,1,5,5,38,0,3.8,3.8,2017,7,6.6,,,
1209,Ben Watson,BAL,1,4,2,6,1,6.6,6.6,2017,8,4.1,,,
1269,Ben Watson,BAL,1,10,7,41,0,4.1,4.1,2017,9,3.3,,,
1369,Ben Watson,BAL,1,1,1,33,0,3.3,3.3,2017,11,2.9,,,
1425,Ben Watson,BAL,1,3,3,29,0,2.9,2.9,2017,12,8.4,,,
1459,Ben Watson,BAL,1,5,3,24,1,8.4,8.4,2017,13,13.4,,,
1553,Ben Watson,BAL,1,4,4,74,1,13.4,13.4,2017,15,4.0,,,
