,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week,next_fp
198,Albert Wilson,KC,1,8,5,52,0,0,0,0,5.2,5.2,2016,4,9.7
424,Albert Wilson,KC,1,8,3,42,1,1,-5,0,9.7,9.7,2016,9,7.9
527,Albert Wilson,KC,1,4,4,19,1,0,0,0,7.9,7.9,2016,11,16.3
603,Albert Wilson,KC,1,4,4,48,0,1,55,1,16.3,16.3,2016,13,7.4
989,Albert Wilson,KC,1,4,3,18,1,1,-4,0,7.4,7.4,2017,3,6.9
1034,Albert Wilson,KC,1,4,4,63,0,1,6,0,6.9,6.9,2017,4,12.3
1162,Albert Wilson,KC,1,2,1,63,1,0,0,0,12.3,12.3,2017,7,9.6
1421,Albert Wilson,KC,1,7,3,36,1,0,0,0,9.6,9.6,2017,12,7.2
1535,Albert Wilson,KC,1,7,5,72,0,0,0,0,7.2,7.2,2017,14,14.7
1661,Albert Wilson,KC,1,11,10,147,0,0,0,0,14.7,14.7,2017,17,
168,Aldrick Robinson,ATL,1,3,2,48,1,0,0,0,10.8,10.8,2016,4,7.8
635,Aldrick Robinson,ATL,1,3,2,18,1,0,0,0,7.8,7.8,2016,13,11.1
719,Aldrick Robinson,ATL,1,5,4,111,0,0,0,0,11.1,11.1,2016,15,5.2
1043,Aldrick Robinson,SF,1,12,3,52,0,0,0,0,5.2,5.2,2017,4,12.6
1107,Aldrick Robinson,SF,1,5,2,66,1,0,0,0,12.6,12.6,2017,6,7.2
1681,Aldrick Robinson,SF,1,3,1,12,1,0,0,0,7.2,7.2,2017,17,
938,Alex Erickson,CIN,1,6,4,62,0,1,2,0,6.4,6.4,2017,2,10.2
1367,Alex Erickson,CIN,1,2,2,42,1,0,0,0,10.2,10.2,2017,11,
38,Allen Hurns,JAC,1,5,4,75,0,0,0,0,7.5,7.5,2016,1,10.7
169,Allen Hurns,JAC,1,4,2,47,1,0,0,0,10.7,10.7,2016,4,7.4
286,Allen Hurns,JAC,1,11,5,74,0,0,0,0,7.4,7.4,2016,6,4.5
347,Allen Hurns,JAC,1,7,4,45,0,0,0,0,4.5,4.5,2016,7,15.8
356,Allen Hurns,JAC,1,11,7,98,1,0,0,0,15.8,15.8,2016,8,7.2
592,Allen Hurns,JAC,1,7,1,12,1,0,0,0,7.2,7.2,2016,12,14.2
909,Allen Hurns,JAC,1,7,6,82,1,0,0,0,14.2,14.2,2017,2,8.0
