,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week,next_fp
1396,Chris Godwin,TB,1,2,2,38,0,0,0,0,3.8,3.8,2017,11,6.8
1536,Chris Godwin,TB,1,6,5,68,0,0,0,0,6.8,6.8,2017,14,9.8
1615,Chris Godwin,TB,1,6,3,98,0,0,0,0,9.8,9.8,2017,16,17.1
1655,Chris Godwin,TB,1,12,7,111,1,0,0,0,17.1,17.1,2017,17,
16,Chris Hogan,NE,1,4,3,60,1,0,0,0,12.0,12.0,2016,1,11.6
217,Chris Hogan,NE,1,5,4,114,0,1,2,0,11.6,11.6,2016,5,15.1
360,Chris Hogan,NE,1,4,4,91,1,0,0,0,15.1,15.1,2016,8,7.0
593,Chris Hogan,NE,1,5,4,70,0,0,0,0,7.0,7.0,2016,12,8.3
627,Chris Hogan,NE,1,5,4,23,1,0,0,0,8.3,8.3,2016,13,19.6
650,Chris Hogan,NE,1,7,5,129,1,2,7,0,19.6,19.6,2016,14,13.8
910,Chris Hogan,NE,1,6,5,78,1,0,0,0,13.8,13.8,2017,2,18.8
957,Chris Hogan,NE,1,6,4,68,2,0,0,0,18.8,18.8,2017,3,12.0
1011,Chris Hogan,NE,1,9,5,60,1,0,0,0,12.0,12.0,2017,4,13.4
1060,Chris Hogan,NE,1,11,8,74,1,0,0,0,13.4,13.4,2017,5,7.1
1180,Chris Hogan,NE,1,6,4,71,0,0,0,0,7.1,7.1,2017,7,6.0
1230,Chris Hogan,NE,1,7,5,60,0,0,0,0,6.0,6.0,2017,8,
1142,Chris Moore,BAL,1,7,3,44,0,0,0,0,4.4,4.4,2017,6,9.1
1172,Chris Moore,BAL,1,8,2,36,1,1,-5,0,9.1,9.1,2017,7,6.0
1231,Chris Moore,BAL,1,0,0,0,0,0,0,1,6.0,6.0,2017,8,10.8
1522,Chris Moore,BAL,1,3,3,48,1,0,0,0,10.8,10.8,2017,14,6.6
1683,Chris Moore,BAL,1,3,1,6,1,0,0,0,6.6,6.6,2017,17,
271,Cobi Hamilton,PIT,1,2,2,36,1,0,0,0,9.6,9.6,2016,6,11.4
812,Cobi Hamilton,PIT,1,4,3,54,1,0,0,0,11.4,11.4,2016,17,
647,Cody Core,CIN,1,2,2,58,0,0,0,0,5.8,5.8,2016,13,8.2
830,Cody Core,CIN,1,5,4,82,0,0,0,0,8.2,8.2,2016,17,
1291,Cody Latimer,DEN,1,3,2,51,0,0,0,0,5.1,5.1,2017,9,10.8
1418,Cody Latimer,DEN,1,4,3,48,1,0,0,0,10.8,10.8,2017,12,12.0
1564,Cody Latimer,DEN,1,4,3,60,1,0,0,0,12.0,12.0,2017,15,
47,Cole Beasley,DAL,1,12,8,65,0,0,0,0,6.5,6.5,2016,1,7.5
90,Cole Beasley,DAL,1,6,5,75,0,0,0,0,7.5,7.5,2016,2,7.3
133,Cole Beasley,DAL,1,7,7,73,0,0,0,0,7.3,7.3,2016,3,7.3
187,Cole Beasley,DAL,1,4,3,66,0,1,7,0,7.3,7.3,2016,4,11.3
219,Cole Beasley,DAL,1,4,4,53,1,0,0,0,11.3,11.3,2016,5,17.8
257,Cole Beasley,DAL,1,6,6,58,2,0,0,0,17.8,17.8,2016,6,5.3
399,Cole Beasley,DAL,1,7,4,53,0,0,0,0,5.3,5.3,2016,8,11.6
414,Cole Beasley,DAL,1,6,6,56,1,0,0,0,11.6,11.6,2016,9,11.9
511,Cole Beasley,DAL,1,6,5,59,1,0,0,0,11.9,11.9,2016,11,4.8
748,Cole Beasley,DAL,1,5,4,48,0,0,0,0,4.8,4.8,2016,15,14.3
1058,Cole Beasley,DAL,1,6,4,23,2,0,0,0,14.3,14.3,2017,5,14.4
1256,Cole Beasley,DAL,1,6,4,24,2,0,0,0,14.4,14.4,2017,9,5.9
1544,Cole Beasley,DAL,1,5,3,59,0,0,0,0,5.9,5.9,2017,14,
858,Cooper Kupp,LAR,1,6,4,76,1,0,0,0,13.6,13.6,2017,1,12.0
1012,Cooper Kupp,LAR,1,7,5,60,1,0,0,0,12.0,12.0,2017,4,4.4
1095,Cooper Kupp,LAR,1,8,3,44,0,0,0,0,4.4,4.4,2017,5,11.1
1164,Cooper Kupp,LAR,1,10,4,51,1,0,0,0,11.1,11.1,2017,7,5.4
1288,Cooper Kupp,LAR,1,5,3,54,0,0,0,0,5.4,5.4,2017,9,4.7
1349,Cooper Kupp,LAR,1,7,6,47,0,0,0,0,4.7,4.7,2017,10,6.4
1384,Cooper Kupp,LAR,1,7,6,64,0,0,0,0,6.4,6.4,2017,11,11.6
1414,Cooper Kupp,LAR,1,11,8,116,0,0,0,0,11.6,11.6,2017,12,6.8
1483,Cooper Kupp,LAR,1,6,5,68,0,0,0,0,6.8,6.8,2017,13,17.8
1504,Cooper Kupp,LAR,1,7,5,118,1,0,0,0,17.8,17.8,2017,14,12.5
1607,Cooper Kupp,LAR,1,6,4,65,1,0,0,0,12.5,12.5,2017,16,
223,Cordarrelle Patterson,MIN,1,6,4,39,1,1,7,0,10.6,10.6,2016,5,12.7
315,Cordarrelle Patterson,MIN,1,7,7,67,1,0,0,0,12.7,12.7,2016,7,5.3
541,Cordarrelle Patterson,MIN,1,8,4,53,0,0,0,0,5.3,5.3,2016,11,4.9
747,Cordarrelle Patterson,MIN,1,8,5,49,0,0,0,0,4.9,4.9,2016,15,12.3
911,Cordarrelle Patterson,OAK,1,1,1,6,0,3,57,1,12.3,12.3,2017,2,12.0
1114,Cordarrelle Patterson,OAK,1,1,1,5,0,3,55,1,12.0,12.0,2017,6,4.5
1394,Cordarrelle Patterson,OAK,1,4,4,45,0,0,0,0,4.5,4.5,2017,11,7.2
1431,Cordarrelle Patterson,OAK,1,4,3,72,0,0,0,0,7.2,7.2,2017,12,9.8
1469,Cordarrelle Patterson,OAK,1,4,4,97,0,2,1,0,9.8,9.8,2017,13,
42,Corey Coleman,CLE,1,5,2,69,0,0,0,0,6.9,6.9,2016,1,22.4
53,Corey Coleman,CLE,1,8,5,104,2,0,0,0,22.4,22.4,2016,2,9.8
578,Corey Coleman,CLE,1,7,3,38,1,0,0,0,9.8,9.8,2016,12,11.3
863,Corey Coleman,CLE,1,6,5,53,1,0,0,0,11.3,11.3,2017,1,8.0
1378,Corey Coleman,CLE,1,11,6,80,0,0,0,0,8.0,8.0,2017,11,6.4
1437,Corey Coleman,CLE,1,8,3,64,0,0,0,0,6.4,6.4,2017,12,12.2
1518,Corey Coleman,CLE,1,6,5,62,1,0,0,0,12.2,12.2,2017,14,
878,Corey Davis,TEN,1,10,6,69,0,0,0,0,6.9,6.9,2017,1,4.8
1346,Corey Davis,TEN,1,10,4,48,0,0,0,0,4.8,4.8,2017,10,9.1
1618,Corey Davis,TEN,1,9,6,91,0,0,0,0,9.1,9.1,2017,16,
57,Danny Amendola,NE,1,4,4,50,2,0,0,0,17.0,17.0,2016,2,8.9
378,Danny Amendola,NE,1,4,3,29,1,0,0,0,8.9,8.9,2016,8,6.2
534,Danny Amendola,NE,1,3,2,2,1,0,0,0,6.2,6.2,2016,11,10.0
867,Danny Amendola,NE,1,7,6,100,0,0,0,0,10.0,10.0,2017,1,10.2
1019,Danny Amendola,NE,1,7,6,42,1,0,0,0,10.2,10.2,2017,4,7.7
1078,Danny Amendola,NE,1,8,8,77,0,0,0,0,7.7,7.7,2017,5,4.0
1144,Danny Amendola,NE,1,5,3,40,0,0,0,0,4.0,4.0,2017,6,12.6
1362,Danny Amendola,NE,1,9,8,66,1,0,0,0,12.6,12.6,2017,11,3.4
1499,Danny Amendola,NE,1,4,2,34,0,0,0,0,3.4,3.4,2017,13,7.6
1532,Danny Amendola,NE,1,9,6,76,0,0,0,0,7.6,7.6,2017,14,4.3
1696,Danny Amendola,NE,1,7,4,43,0,0,0,0,4.3,4.3,2017,17,
178,Darrius Heyward-Bey,PIT,1,1,1,31,1,0,0,0,9.1,9.1,2016,4,12.0
263,Darrius Heyward-Bey,PIT,1,2,0,0,0,1,60,1,12.0,12.0,2016,6,9.0
326,Darrius Heyward-Bey,PIT,1,7,3,30,1,0,0,0,9.0,9.0,2016,7,4.4
1191,Darrius Heyward-Bey,PIT,1,1,1,44,0,0,0,0,4.4,4.4,2017,7,8.9
1676,Darrius Heyward-Bey,PIT,1,0,0,0,0,1,29,1,8.9,8.9,2017,17,
22,Davante Adams,GB,1,7,3,50,1,0,0,0,11.0,11.0,2016,1,8.3
126,Davante Adams,GB,1,2,2,23,1,0,0,0,8.3,8.3,2016,3,14.5
211,Davante Adams,GB,1,8,5,85,1,0,0,0,14.5,14.5,2016,5,25.2
300,Davante Adams,GB,1,16,13,132,2,0,0,0,25.2,25.2,2016,7,7.4
383,Davante Adams,GB,1,14,12,74,0,0,0,0,7.4,7.4,2016,8,10.1
423,Davante Adams,GB,1,8,4,41,1,0,0,0,10.1,10.1,2016,9,15.6
460,Davante Adams,GB,1,9,6,156,0,0,0,0,15.6,15.6,2016,10,23.3
551,Davante Adams,GB,1,6,5,113,2,0,0,0,23.3,23.3,2016,12,16.4
653,Davante Adams,GB,1,6,4,104,1,0,0,0,16.4,16.4,2016,14,10.4
772,Davante Adams,GB,1,7,4,44,1,0,0,0,10.4,10.4,2016,16,15.1
805,Davante Adams,GB,1,9,6,31,2,0,0,0,15.1,15.1,2016,17,4.7
898,Davante Adams,GB,1,7,3,47,0,0,0,0,4.7,4.7,2017,1,15.9
904,Davante Adams,GB,1,10,8,99,1,0,0,0,15.9,15.9,2017,2,7.3
1028,Davante Adams,GB,1,5,2,13,1,0,0,0,7.3,7.3,2017,4,18.6
1052,Davante Adams,GB,1,11,7,66,2,0,0,0,18.6,18.6,2017,5,11.4
1116,Davante Adams,GB,1,10,5,54,1,0,0,0,11.4,11.4,2017,6,5.3
1289,Davante Adams,GB,1,10,7,53,0,0,0,0,5.3,5.3,2017,9,15.0
1309,Davante Adams,GB,1,8,5,90,1,0,0,0,15.0,15.0,2017,10,12.6
1361,Davante Adams,GB,1,10,8,126,0,0,0,0,12.6,12.6,2017,11,14.2
1409,Davante Adams,GB,1,9,5,82,1,0,0,0,14.2,14.2,2017,12,4.2
1493,Davante Adams,GB,1,6,4,42,0,0,0,0,4.2,4.2,2017,13,20.4
1502,Davante Adams,GB,1,14,10,84,2,0,0,0,20.4,20.4,2017,14,11.7
1567,Davante Adams,GB,1,7,5,57,1,0,0,0,11.7,11.7,2017,15,
1081,De'Anthony Thomas,KC,1,1,1,10,1,0,0,0,7.0,7.0,2017,5,12.1
1113,De'Anthony Thomas,KC,1,4,3,61,1,0,0,0,12.1,12.1,2017,6,4.1
1297,De'Anthony Thomas,KC,1,3,3,41,0,0,0,0,4.1,4.1,2017,9,
21,DeAndre Hopkins,HOU,1,8,5,54,1,0,0,0,11.4,11.4,2016,1,17.3
55,DeAndre Hopkins,HOU,1,11,7,113,1,0,0,0,17.3,17.3,2016,2,5.6
145,DeAndre Hopkins,HOU,1,8,4,56,0,0,0,0,5.6,5.6,2016,3,11.6
218,DeAndre Hopkins,HOU,1,9,5,56,1,0,0,0,11.6,11.6,2016,5,7.1
291,DeAndre Hopkins,HOU,1,15,9,71,0,0,0,0,7.1,7.1,2016,6,4.8
497,DeAndre Hopkins,HOU,1,13,5,48,0,0,0,0,4.8,4.8,2016,10,5.8
538,DeAndre Hopkins,HOU,1,6,5,58,0,0,0,0,5.8,5.8,2016,11,7.0
594,DeAndre Hopkins,HOU,1,10,5,70,0,0,0,0,7.0,7.0,2016,12,11.8
613,DeAndre Hopkins,HOU,1,8,3,58,1,0,0,0,11.8,11.8,2016,13,8.7
730,DeAndre Hopkins,HOU,1,17,8,87,0,0,0,0,8.7,8.7,2016,15,12.3
810,DeAndre Hopkins,HOU,1,11,7,123,0,0,0,0,12.3,12.3,2016,17,11.5
861,DeAndre Hopkins,HOU,1,16,7,55,1,0,0,0,11.5,11.5,2017,1,7.3
929,DeAndre Hopkins,HOU,1,13,7,73,0,0,0,0,7.3,7.3,2017,2,7.6
987,DeAndre Hopkins,HOU,1,8,7,76,0,0,0,0,7.6,7.6,2017,3,16.7
1003,DeAndre Hopkins,HOU,1,12,10,107,1,0,0,0,16.7,16.7,2017,4,23.2
1051,DeAndre Hopkins,HOU,1,12,4,52,3,0,0,0,23.2,23.2,2017,5,7.9
1126,DeAndre Hopkins,HOU,1,4,2,19,1,0,0,0,7.9,7.9,2017,6,28.4
1200,DeAndre Hopkins,HOU,1,11,8,224,1,0,0,0,28.4,28.4,2017,8,14.6
1255,DeAndre Hopkins,HOU,1,16,6,86,1,0,0,0,14.6,14.6,2017,9,11.1
1319,DeAndre Hopkins,HOU,1,14,7,111,0,0,0,0,11.1,11.1,2017,10,13.6
1359,DeAndre Hopkins,HOU,1,9,4,76,1,0,0,0,13.6,13.6,2017,11,12.5
1411,DeAndre Hopkins,HOU,1,10,7,125,0,0,0,0,12.5,12.5,2017,12,8.0
1477,DeAndre Hopkins,HOU,1,14,8,80,0,0,0,0,8.0,8.0,2017,13,26.9
1500,DeAndre Hopkins,HOU,1,16,11,149,2,0,0,0,26.9,26.9,2017,14,14.0
1560,DeAndre Hopkins,HOU,1,13,4,80,1,0,0,0,14.0,14.0,2017,15,12.5
1606,DeAndre Hopkins,HOU,1,6,4,65,1,0,0,0,12.5,12.5,2017,16,
26,DeSean Jackson,WAS,1,10,6,102,0,0,0,0,10.2,10.2,2016,1,15.6
111,DeSean Jackson,WAS,1,8,5,96,1,0,0,0,15.6,15.6,2016,3,11.1
517,DeSean Jackson,WAS,1,6,4,51,1,0,0,0,11.1,11.1,2016,11,17.8
560,DeSean Jackson,WAS,1,8,4,118,1,0,0,0,17.8,17.8,2016,12,5.9
645,DeSean Jackson,WAS,1,4,1,59,0,0,0,0,5.9,5.9,2016,13,16.2
654,DeSean Jackson,WAS,1,4,3,102,1,0,0,0,16.2,16.2,2016,14,11.1
718,DeSean Jackson,WAS,1,10,7,111,0,0,0,0,11.1,11.1,2016,15,11.4
769,DeSean Jackson,WAS,1,7,5,114,0,0,0,0,11.4,11.4,2016,16,14.4
967,DeSean Jackson,TB,1,7,4,84,1,0,0,0,14.4,14.4,2017,3,10.6
1067,DeSean Jackson,TB,1,9,5,106,0,0,0,0,10.6,10.6,2017,5,9.8
1122,DeSean Jackson,TB,1,6,3,38,1,0,0,0,9.8,9.8,2017,6,7.3
1178,DeSean Jackson,TB,1,8,5,73,0,0,0,0,7.3,7.3,2017,7,3.7
1242,DeSean Jackson,TB,1,8,3,37,0,0,0,0,3.7,3.7,2017,8,8.2
1329,DeSean Jackson,TB,1,10,6,82,0,0,0,0,8.2,8.2,2017,10,8.8
1373,DeSean Jackson,TB,1,3,2,28,1,0,0,0,8.8,8.8,2017,11,6.0
1441,DeSean Jackson,TB,1,11,8,60,0,0,0,0,6.0,6.0,2017,12,6.4
1541,DeSean Jackson,TB,1,7,4,41,0,1,23,0,6.4,6.4,2017,14,
72,DeVante Parker,MIA,1,13,8,106,0,0,0,0,10.6,10.6,2016,2,11.1
118,DeVante Parker,MIA,1,6,3,51,1,0,0,0,11.1,11.1,2016,3,7.0
235,DeVante Parker,MIA,1,3,2,70,0,0,0,0,7.0,7.0,2016,5,10.3
477,DeVante Parker,MIA,1,8,5,103,0,0,0,0,10.3,10.3,2016,10,13.9
507,DeVante Parker,MIA,1,10,8,79,1,0,0,0,13.9,13.9,2016,11,6.4
598,DeVante Parker,MIA,1,6,3,64,0,0,0,0,6.4,6.4,2016,12,9.4
623,DeVante Parker,MIA,1,4,3,34,1,0,0,0,9.4,9.4,2016,13,14.5
763,DeVante Parker,MIA,1,7,4,85,1,0,0,0,14.5,14.5,2016,16,8.5
921,DeVante Parker,MIA,1,9,4,85,0,0,0,0,8.5,8.5,2017,2,13.6
970,DeVante Parker,MIA,1,10,8,76,1,0,0,0,13.6,13.6,2017,3,6.9
1033,DeVante Parker,MIA,1,8,6,69,0,0,0,0,6.9,6.9,2017,4,7.6
1277,DeVante Parker,MIA,1,8,5,76,0,0,0,0,7.6,7.6,2017,9,6.6
1338,DeVante Parker,MIA,1,9,6,66,0,0,0,0,6.6,6.6,2017,10,8.9
1576,DeVante Parker,MIA,1,12,6,89,0,0,0,0,8.9,8.9,2017,15,6.3
1634,DeVante Parker,MIA,1,10,5,63,0,0,0,0,6.3,6.3,2017,16,6.4
1686,DeVante Parker,MIA,1,7,6,64,0,0,0,0,6.4,6.4,2017,17,
1478,Dede Westbrook,JAC,1,9,6,78,0,0,0,0,7.8,7.8,2017,13,14.1
1513,Dede Westbrook,JAC,1,8,5,81,1,0,0,0,14.1,14.1,2017,14,7.4
1627,Dede Westbrook,JAC,1,7,4,74,0,0,0,0,7.4,7.4,2017,16,
85,Demaryius Thomas,DEN,1,7,5,90,0,0,0,0,9.0,9.0,2016,2,16.0
110,Demaryius Thomas,DEN,1,7,6,100,1,0,0,0,16.0,16.0,2016,3,15.4
158,Demaryius Thomas,DEN,1,7,6,94,1,0,0,0,15.4,15.4,2016,4,10.9
220,Demaryius Thomas,DEN,1,7,5,49,1,0,0,0,10.9,10.9,2016,5,10.0
322,Demaryius Thomas,DEN,1,10,6,40,1,0,0,0,10.0,10.0,2016,7,7.9
382,Demaryius Thomas,DEN,1,10,5,79,0,0,0,0,7.9,7.9,2016,8,5.6
443,Demaryius Thomas,DEN,1,10,5,56,0,0,0,0,5.6,5.6,2016,9,14.7
461,Demaryius Thomas,DEN,1,11,8,87,1,0,0,0,14.7,14.7,2016,10,6.1
642,Demaryius Thomas,DEN,1,10,6,61,0,0,0,0,6.1,6.1,2016,13,12.6
664,Demaryius Thomas,DEN,1,16,10,126,0,0,0,0,12.6,12.6,2016,14,9.1
729,Demaryius Thomas,DEN,1,11,7,91,0,0,0,0,9.1,9.1,2016,15,6.7
880,Demaryius Thomas,DEN,1,8,5,67,0,0,0,0,6.7,6.7,2017,1,7.1
932,Demaryius Thomas,DEN,1,8,6,71,0,0,0,0,7.1,7.1,2017,2,9.8
980,Demaryius Thomas,DEN,1,9,6,98,0,0,0,0,9.8,9.8,2017,3,13.3
1105,Demaryius Thomas,DEN,1,14,10,133,0,0,0,0,13.3,13.3,2017,6,6.6
1225,Demaryius Thomas,DEN,1,9,5,66,0,0,0,0,6.6,6.6,2017,8,13.0
1262,Demaryius Thomas,DEN,1,12,8,70,1,0,0,0,13.0,13.0,2017,9,10.4
1321,Demaryius Thomas,DEN,1,8,5,44,1,0,0,0,10.4,10.4,2017,10,12.4
1363,Demaryius Thomas,DEN,1,9,5,64,1,0,0,0,12.4,12.4,2017,11,15.3
1510,Demaryius Thomas,DEN,1,12,8,93,1,0,0,0,15.3,15.3,2017,14,6.9
1585,Demaryius Thomas,DEN,1,8,5,69,0,0,0,0,6.9,6.9,2017,15,5.2
1638,Demaryius Thomas,DEN,1,6,4,52,0,0,0,0,5.2,5.2,2017,16,11.7
1666,Demaryius Thomas,DEN,1,8,6,57,1,0,0,0,11.7,11.7,2017,17,
576,Deonte Thompson,CHI,1,9,5,44,1,0,0,0,10.4,10.4,2016,12,11.0
721,Deonte Thompson,CHI,1,10,8,110,0,0,0,0,11.0,11.0,2016,15,9.4
781,Deonte Thompson,CHI,1,4,3,34,1,0,0,0,9.4,9.4,2016,16,11.7
913,Deonte Thompson,CHI,1,5,4,57,1,0,0,0,11.7,11.7,2017,2,10.7
1165,Deonte Thompson,BUF,1,4,4,107,0,1,0,0,10.7,10.7,2017,7,14.1
1257,Deonte Thompson,BUF,1,10,7,81,1,0,0,0,14.1,14.1,2017,9,9.1
1619,Deonte Thompson,BUF,1,5,4,91,0,0,0,0,9.1,9.1,2017,16,
87,Devin Funchess,CAR,1,4,2,19,1,0,0,0,7.9,7.9,2016,2,5.6
195,Devin Funchess,CAR,1,3,2,56,0,0,0,0,5.6,5.6,2016,4,8.8
275,Devin Funchess,CAR,1,6,2,28,1,0,0,0,8.8,8.8,2016,6,11.6
471,Devin Funchess,CAR,1,4,3,56,1,0,0,0,11.6,11.6,2016,10,9.3
674,Devin Funchess,CAR,1,5,2,33,1,0,0,0,9.3,9.3,2016,14,6.8
936,Devin Funchess,CAR,1,7,4,68,0,0,0,0,6.8,6.8,2017,2,19.0
1001,Devin Funchess,CAR,1,9,7,70,2,0,0,0,19.0,19.0,2017,4,11.3
1065,Devin Funchess,CAR,1,8,7,53,1,0,0,0,11.3,11.3,2017,5,3.6
1149,Devin Funchess,CAR,1,9,3,36,0,0,0,0,3.6,3.6,2017,6,4.1
1196,Devin Funchess,CAR,1,8,4,41,0,0,0,0,4.1,4.1,2017,7,8.6
1273,Devin Funchess,CAR,1,7,5,86,0,0,0,0,8.6,8.6,2017,9,21.2
1302,Devin Funchess,CAR,1,6,5,92,2,0,0,0,21.2,21.2,2017,10,10.8
1417,Devin Funchess,CAR,1,12,7,108,0,0,0,0,10.8,10.8,2017,12,12.0
1462,Devin Funchess,CAR,1,7,4,60,1,0,0,0,12.0,12.0,2017,13,11.9
1519,Devin Funchess,CAR,1,7,3,59,1,0,0,0,11.9,11.9,2017,14,10.8
1670,Devin Funchess,CAR,1,6,2,48,1,0,0,0,10.8,10.8,2017,17,
75,Dez Bryant,DAL,1,12,7,102,0,0,0,0,10.2,10.2,2016,2,10.0
120,Dez Bryant,DAL,1,6,3,40,1,0,0,0,10.0,10.0,2016,3,17.3
352,Dez Bryant,DAL,1,14,4,113,1,0,0,0,17.3,17.3,2016,8,17.6
454,Dez Bryant,DAL,1,9,6,116,1,0,0,0,17.6,17.6,2016,10,20.0
500,Dez Bryant,DAL,1,8,6,80,2,0,0,0,20.0,20.0,2016,11,7.2
591,Dez Bryant,DAL,1,7,5,72,0,0,0,0,7.2,7.2,2016,12,14.4
607,Dez Bryant,DAL,1,6,4,84,1,0,0,0,14.4,14.4,2016,13,8.2
731,Dez Bryant,DAL,1,10,8,82,0,0,0,0,8.2,8.2,2016,15,19.0
756,Dez Bryant,DAL,1,5,4,70,2,0,0,0,19.0,19.0,2016,16,11.9
912,Dez Bryant,DAL,1,16,7,59,1,0,0,0,11.9,11.9,2017,2,7.2
990,Dez Bryant,DAL,1,2,2,12,1,0,0,0,7.2,7.2,2017,3,9.8
1020,Dez Bryant,DAL,1,13,5,98,0,0,0,0,9.8,9.8,2017,4,11.2
1066,Dez Bryant,DAL,1,8,5,52,1,0,0,0,11.2,11.2,2017,5,12.3
1161,Dez Bryant,DAL,1,10,7,63,1,0,0,0,12.3,12.3,2017,7,3.9
1239,Dez Bryant,DAL,1,6,4,39,0,0,0,0,3.9,3.9,2017,8,7.3
1278,Dez Bryant,DAL,1,11,6,73,0,0,0,0,7.3,7.3,2017,9,6.3
1385,Dez Bryant,DAL,1,14,8,63,0,0,0,0,6.3,6.3,2017,11,12.1
1461,Dez Bryant,DAL,1,7,5,61,1,0,0,0,12.1,12.1,2017,13,13.3
1515,Dez Bryant,DAL,1,5,3,73,1,0,0,0,13.3,13.3,2017,14,5.5
1589,Dez Bryant,DAL,1,4,2,59,0,1,-4,0,5.5,5.5,2017,15,4.4
1648,Dez Bryant,DAL,1,6,3,44,0,0,0,0,4.4,4.4,2017,16,
14,Donte Moncrief,IND,1,7,6,64,1,0,0,0,12.4,12.4,2016,1,10.0
374,Donte Moncrief,IND,1,9,4,41,1,1,-1,0,10.0,10.0,2016,8,11.5
416,Donte Moncrief,IND,1,6,3,55,1,0,0,0,11.5,11.5,2016,9,9.7
521,Donte Moncrief,IND,1,7,4,37,1,0,0,0,9.7,9.7,2016,11,10.5
575,Donte Moncrief,IND,1,11,6,45,1,0,0,0,10.5,10.5,2016,12,8.6
625,Donte Moncrief,IND,1,6,4,26,1,0,0,0,8.6,8.6,2016,13,9.0
786,Donte Moncrief,IND,1,3,2,30,1,0,0,0,9.0,9.0,2016,16,5.0
896,Donte Moncrief,IND,1,4,1,50,0,0,0,0,5.0,5.0,2017,1,9.0
1025,Donte Moncrief,IND,1,3,3,30,1,0,0,0,9.0,9.0,2017,4,6.7
1135,Donte Moncrief,IND,1,7,5,67,0,0,0,0,6.7,6.7,2017,6,12.0
1314,Donte Moncrief,IND,1,1,1,60,1,0,0,0,12.0,12.0,2017,10,3.7
1498,Donte Moncrief,IND,1,8,5,37,0,0,0,0,3.7,3.7,2017,13,
155,Dontrelle Inman,SD,1,11,7,120,1,0,0,0,18.0,18.0,2016,4,5.8
340,Dontrelle Inman,SD,1,6,3,58,0,0,0,0,5.8,5.8,2016,7,7.2
387,Dontrelle Inman,SD,1,7,4,72,0,0,0,0,7.2,7.2,2016,8,5.6
442,Dontrelle Inman,SD,1,9,6,56,0,0,0,0,5.6,5.6,2016,9,17.9
559,Dontrelle Inman,SD,1,6,6,119,1,0,0,0,17.9,17.9,2016,12,10.9
616,Dontrelle Inman,SD,1,5,2,49,1,0,0,0,10.9,10.9,2016,13,13.1
662,Dontrelle Inman,SD,1,7,6,71,1,0,0,0,13.1,13.1,2016,14,6.8
739,Dontrelle Inman,SD,1,8,5,68,0,0,0,0,6.8,6.8,2016,15,8.8
1328,Dontrelle Inman,CHI,1,8,6,88,0,0,0,0,8.8,8.8,2017,10,4.3
1395,Dontrelle Inman,CHI,1,5,3,43,0,0,0,0,4.3,4.3,2017,11,6.4
1438,Dontrelle Inman,CHI,1,9,4,64,0,0,0,0,6.4,6.4,2017,12,8.1
1476,Dontrelle Inman,CHI,1,2,2,21,1,0,0,0,8.1,8.1,2017,13,9.4
1674,Dontrelle Inman,CHI,1,10,5,94,0,0,0,0,9.4,9.4,2017,17,
246,Dorial Green-Beckham,PHI,1,4,3,43,0,0,0,0,4.3,4.3,2016,5,6.8
336,Dorial Green-Beckham,PHI,1,4,2,8,1,0,0,0,6.8,6.8,2016,7,5.5
398,Dorial Green-Beckham,PHI,1,9,5,55,0,0,0,0,5.5,5.5,2016,8,11.4
516,Dorial Green-Beckham,PHI,1,8,5,54,1,0,0,0,11.4,11.4,2016,11,8.2
584,Dorial Green-Beckham,PHI,1,10,6,82,0,0,0,0,8.2,8.2,2016,12,
9,Doug Baldwin,SEA,1,11,9,92,1,0,0,0,15.2,15.2,2016,1,22.0
105,Doug Baldwin,SEA,1,10,8,164,1,1,-4,0,22.0,22.0,2016,3,5.4
197,Doug Baldwin,SEA,1,4,4,54,0,0,0,0,5.4,5.4,2016,4,6.9
335,Doug Baldwin,SEA,1,9,6,69,0,0,0,0,6.9,6.9,2016,7,8.9
428,Doug Baldwin,SEA,1,6,6,89,0,0,0,0,8.9,8.9,2016,9,23.9
450,Doug Baldwin,SEA,1,8,6,59,3,0,0,0,23.9,23.9,2016,10,10.4
520,Doug Baldwin,SEA,1,5,4,104,0,0,0,0,10.4,10.4,2016,11,6.5
641,Doug Baldwin,SEA,1,7,7,65,0,0,0,0,6.5,6.5,2016,13,4.6
699,Doug Baldwin,SEA,1,11,6,46,0,0,0,0,4.6,4.6,2016,14,9.5
727,Doug Baldwin,SEA,1,6,5,35,1,0,0,0,9.5,9.5,2016,15,23.7
752,Doug Baldwin,SEA,1,19,13,171,1,2,6,0,23.7,23.7,2016,16,6.0
886,Doug Baldwin,SEA,1,4,4,63,0,1,-3,0,6.0,6.0,2017,1,4.4
948,Doug Baldwin,SEA,1,9,6,44,0,0,0,0,4.4,4.4,2017,2,16.5
961,Doug Baldwin,SEA,1,15,10,105,1,0,0,0,16.5,16.5,2017,3,15.2
1155,Doug Baldwin,SEA,1,12,9,92,1,0,0,0,15.2,15.2,2017,7,5.4
1232,Doug Baldwin,SEA,1,10,6,54,0,0,0,0,5.4,5.4,2017,8,16.8
1254,Doug Baldwin,SEA,1,12,7,108,1,0,0,0,16.8,16.8,2017,9,9.5
1326,Doug Baldwin,SEA,1,6,5,95,0,0,0,0,9.5,9.5,2017,10,10.0
1368,Doug Baldwin,SEA,1,6,2,40,1,0,0,0,10.0,10.0,2017,11,8.4
