,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
1688,Christian McCaffrey,CAR,1,6,14,0,8,5,40,0,5.4,5.4,2017,17,
34,Christine Michael,SEA,1,15,66,0,4,2,5,0,7.1,7.1,2016,1,8.6
72,Christine Michael,SEA,1,10,60,0,4,3,26,0,8.6,8.6,2016,2,23.1
104,Christine Michael,SEA,1,20,106,2,3,2,5,0,23.1,23.1,2016,3,15.0
162,Christine Michael,SEA,1,18,58,0,6,5,32,1,15.0,15.0,2016,4,20.3
257,Christine Michael,SEA,1,18,64,2,3,3,19,0,20.3,20.3,2016,6,5.5
337,Christine Michael,SEA,1,16,52,0,3,3,3,0,5.5,5.5,2016,7,10.2
375,Christine Michael,SEA,1,10,40,1,2,1,2,0,10.2,10.2,2016,8,6.1
428,Christine Michael,SEA,1,5,1,1,0,0,0,0,6.1,6.1,2016,9,2.6
496,Christine Michael,SEA,1,5,22,0,1,1,4,0,2.6,2.6,2016,10,3.6
699,Christine Michael,GB,1,10,36,0,0,0,0,0,3.6,3.6,2016,14,10.5
721,Christine Michael,GB,1,4,45,1,0,0,0,0,10.5,10.5,2016,15,
978,Corey Clement,PHI,1,6,22,1,0,0,0,0,8.2,8.2,2017,3,3.9
1090,Corey Clement,PHI,1,7,17,0,1,1,22,0,3.9,3.9,2017,5,7.5
1174,Corey Clement,PHI,1,1,6,0,1,1,9,1,7.5,7.5,2017,7,5.4
1234,Corey Clement,PHI,1,10,54,0,1,0,0,0,5.4,5.4,2017,8,24.6
1251,Corey Clement,PHI,1,12,51,2,1,1,15,1,24.6,24.6,2017,9,11.0
1369,Corey Clement,PHI,1,6,50,1,0,0,0,0,11.0,11.0,2017,11,3.9
1444,Corey Clement,PHI,1,4,27,0,1,1,12,0,3.9,3.9,2017,12,5.2
1542,Corey Clement,PHI,1,6,24,0,3,1,28,0,5.2,5.2,2017,14,
75,Corey Grant,JAC,1,0,0,0,1,1,15,1,7.5,7.5,2016,2,19.7
807,Corey Grant,JAC,1,18,122,1,2,2,15,0,19.7,19.7,2016,17,9.3
973,Corey Grant,JAC,1,6,75,0,1,1,18,0,9.3,9.3,2017,3,3.6
1194,Corey Grant,JAC,1,6,8,0,1,1,28,0,3.6,3.6,2017,7,11.6
1314,Corey Grant,JAC,1,1,56,1,0,0,0,0,11.6,11.6,2017,10,12.9
1565,Corey Grant,JAC,1,10,69,1,0,0,0,0,12.9,12.9,2017,15,
945,D'Onta Foreman,HOU,1,12,40,0,0,0,0,0,4.0,4.0,2017,2,9.0
974,D'Onta Foreman,HOU,1,8,25,0,3,2,65,0,9.0,9.0,2017,3,4.5
1045,D'Onta Foreman,HOU,1,13,45,0,0,0,0,0,4.5,4.5,2017,4,3.7
1091,D'Onta Foreman,HOU,1,4,34,0,1,1,3,0,3.7,3.7,2017,5,5.9
1132,D'Onta Foreman,HOU,1,12,59,0,0,0,0,0,5.9,5.9,2017,6,3.7
1288,D'Onta Foreman,HOU,1,11,37,0,1,0,0,0,3.7,3.7,2017,9,20.0
1353,D'Onta Foreman,HOU,1,10,65,2,3,3,15,0,20.0,20.0,2017,11,
861,Dalvin Cook,MIN,1,22,127,0,5,3,10,0,13.7,13.7,2017,1,6.4
932,Dalvin Cook,MIN,1,12,64,0,3,2,0,0,6.4,6.4,2017,2,22.9
954,Dalvin Cook,MIN,1,27,97,1,5,5,72,0,22.9,22.9,2017,3,13.4
1015,Dalvin Cook,MIN,1,13,66,1,3,1,8,0,13.4,13.4,2017,4,
49,Damien Williams,MIA,1,2,9,0,2,1,29,0,3.8,3.8,2016,1,8.5
125,Damien Williams,MIA,1,1,15,0,3,3,10,1,8.5,8.5,2016,3,7.0
226,Damien Williams,MIA,1,1,3,0,2,2,67,0,7.0,7.0,2016,5,7.7
274,Damien Williams,MIA,1,6,12,1,2,2,5,0,7.7,7.7,2016,6,7.6
331,Damien Williams,MIA,1,4,16,1,1,0,0,0,7.6,7.6,2016,7,4.9
433,Damien Williams,MIA,1,5,29,0,3,2,20,0,4.9,4.9,2016,9,14.0
458,Damien Williams,MIA,1,2,2,1,1,1,18,1,14.0,14.0,2016,10,6.8
681,Damien Williams,MIA,1,5,7,0,3,2,1,1,6.8,6.8,2016,14,5.1
799,Damien Williams,MIA,1,0,0,0,3,2,51,0,5.1,5.1,2016,16,2.3
1148,Damien Williams,MIA,1,4,9,0,3,3,14,0,2.3,2.3,2017,6,12.1
1262,Damien Williams,MIA,1,7,14,0,6,6,47,1,12.1,12.1,2017,9,3.9
1348,Damien Williams,MIA,1,9,19,0,3,2,20,0,3.9,3.9,2017,10,10.2
1371,Damien Williams,MIA,1,10,78,0,1,1,24,0,10.2,10.2,2017,11,5.2
1433,Damien Williams,MIA,1,8,38,0,5,3,14,0,5.2,5.2,2017,12,
8,Danny Woodhead,SD,1,16,89,0,7,5,31,1,18.0,18.0,2016,1,3.7
897,Danny Woodhead,BAL,1,1,4,0,3,3,33,0,3.7,3.7,2017,1,2.3
1399,Danny Woodhead,BAL,1,1,2,0,6,5,21,0,2.3,2.3,2017,11,4.5
1440,Danny Woodhead,BAL,1,4,22,0,4,4,23,0,4.5,4.5,2017,12,4.1
1649,Danny Woodhead,BAL,1,1,8,0,6,5,33,0,4.1,4.1,2017,16,
91,Darren Sproles,PHI,1,12,40,0,2,2,8,0,4.8,4.8,2016,2,18.7
110,Darren Sproles,PHI,1,2,-1,0,6,6,128,1,18.7,18.7,2016,3,6.8
227,Darren Sproles,PHI,1,5,45,0,4,4,23,0,6.8,6.8,2016,5,2.4
299,Darren Sproles,PHI,1,4,20,0,1,1,4,0,2.4,2.4,2016,6,4.9
339,Darren Sproles,PHI,1,3,26,0,3,2,23,0,4.9,4.9,2016,7,10.3
373,Darren Sproles,PHI,1,15,86,0,7,5,17,0,10.3,10.3,2016,8,7.1
422,Darren Sproles,PHI,1,13,57,0,9,3,14,0,7.1,7.1,2016,9,7.6
473,Darren Sproles,PHI,1,2,19,0,10,8,57,0,7.6,7.6,2016,10,5.4
584,Darren Sproles,PHI,1,3,6,0,7,5,48,0,5.4,5.4,2016,12,10.9
616,Darren Sproles,PHI,1,7,14,1,6,6,35,0,10.9,10.9,2016,13,10.0
672,Darren Sproles,PHI,1,5,27,0,3,2,13,1,10.0,10.0,2016,14,12.3
769,Darren Sproles,PHI,1,7,40,1,2,2,23,0,12.3,12.3,2016,16,4.5
891,Darren Sproles,PHI,1,2,2,0,8,5,43,0,4.5,4.5,2017,1,7.8
928,Darren Sproles,PHI,1,10,48,0,4,2,30,0,7.8,7.8,2017,2,
6,David Johnson,ARI,1,16,89,1,6,4,43,0,19.2,19.2,2016,1,14.3
61,David Johnson,ARI,1,12,45,0,5,3,98,0,14.3,14.3,2016,2,23.1
103,David Johnson,ARI,1,19,83,2,6,3,28,0,23.1,23.1,2016,3,12.4
166,David Johnson,ARI,1,17,83,0,4,4,41,0,12.4,12.4,2016,4,30.5
200,David Johnson,ARI,1,27,157,2,6,3,28,0,30.5,30.5,2016,5,31.8
252,David Johnson,ARI,1,22,111,3,6,3,27,0,31.8,31.8,2016,6,17.1
308,David Johnson,ARI,1,33,113,0,13,8,58,0,17.1,17.1,2016,7,10.8
370,David Johnson,ARI,1,10,24,0,9,7,84,0,10.8,10.8,2016,8,22.1
454,David Johnson,ARI,1,19,55,1,7,5,46,1,22.1,22.1,2016,10,28.0
501,David Johnson,ARI,1,22,103,1,11,7,57,1,28.0,28.0,2016,11,22.1
553,David Johnson,ARI,1,13,58,0,11,8,103,1,22.1,22.1,2016,12,29.5
601,David Johnson,ARI,1,18,84,1,12,9,91,1,29.5,29.5,2016,13,12.1
667,David Johnson,ARI,1,20,80,0,8,5,41,0,12.1,12.1,2016,14,22.8
704,David Johnson,ARI,1,12,53,2,5,4,55,0,22.8,22.8,2016,15,31.6
750,David Johnson,ARI,1,28,95,3,7,4,41,0,31.6,31.6,2016,16,4.4
845,David Johnson,ARI,1,5,6,0,4,3,38,0,4.4,4.4,2016,17,9.1
870,David Johnson,ARI,1,11,23,0,9,6,68,0,9.1,9.1,2017,1,
87,DeAndre Washington,OAK,1,6,46,0,1,1,6,0,5.2,5.2,2016,2,6.2
135,DeAndre Washington,OAK,1,6,57,0,1,1,5,0,6.2,6.2,2016,3,4.6
188,DeAndre Washington,OAK,1,5,30,0,3,3,16,0,4.6,4.6,2016,4,5.2
236,DeAndre Washington,OAK,1,9,23,0,6,5,29,0,5.2,5.2,2016,5,4.9
287,DeAndre Washington,OAK,1,10,49,0,1,0,0,0,4.9,4.9,2016,6,3.2
392,DeAndre Washington,OAK,1,5,32,0,0,0,0,0,3.2,3.2,2016,8,3.5
440,DeAndre Washington,OAK,1,10,35,0,1,1,0,0,3.5,3.5,2016,9,23.7
753,DeAndre Washington,OAK,1,12,99,2,1,1,18,0,23.7,23.7,2016,16,5.7
839,DeAndre Washington,OAK,1,7,43,0,2,2,14,0,5.7,5.7,2016,17,10.0
1164,DeAndre Washington,OAK,1,9,33,1,4,3,7,0,10.0,10.0,2017,7,14.8
1207,DeAndre Washington,OAK,1,6,26,0,10,8,62,1,14.8,14.8,2017,8,4.6
1439,DeAndre Washington,OAK,1,6,23,0,3,3,23,0,4.6,4.6,2017,12,7.6
1484,DeAndre Washington,OAK,1,6,16,1,0,0,0,0,7.6,7.6,2017,13,
0,DeAngelo Williams,PIT,1,26,143,2,9,6,28,0,29.1,29.1,2016,1,19.2
52,DeAngelo Williams,PIT,1,32,94,0,5,4,38,1,19.2,19.2,2016,2,4.4
146,DeAngelo Williams,PIT,1,8,21,0,7,4,23,0,4.4,4.4,2016,3,6.9
181,DeAngelo Williams,PIT,1,4,7,1,1,1,2,0,6.9,6.9,2016,4,21.4
806,DeAngelo Williams,PIT,1,23,67,1,4,3,27,1,21.4,21.4,2016,17,
5,DeMarco Murray,TEN,1,13,42,0,7,5,35,2,19.7,19.7,2016,1,14.5
60,DeMarco Murray,TEN,1,12,89,0,7,7,56,0,14.5,14.5,2016,2,21.5
108,DeMarco Murray,TEN,1,16,114,1,5,5,41,0,21.5,21.5,2016,3,23.9
150,DeMarco Murray,TEN,1,25,95,2,2,2,24,0,23.9,23.9,2016,4,13.7
213,DeMarco Murray,TEN,1,27,121,0,6,5,16,0,13.7,13.7,2016,5,12.5
263,DeMarco Murray,TEN,1,21,65,1,2,0,0,0,12.5,12.5,2016,6,18.7
306,DeMarco Murray,TEN,1,25,107,1,5,3,20,0,18.7,18.7,2016,7,18.8
354,DeMarco Murray,TEN,1,21,123,1,2,1,5,0,18.8,18.8,2016,8,14.0
410,DeMarco Murray,TEN,1,14,51,1,7,7,29,0,14.0,14.0,2016,9,21.6
455,DeMarco Murray,TEN,1,17,123,1,3,2,33,0,21.6,21.6,2016,10,13.9
507,DeMarco Murray,TEN,1,21,70,0,3,3,9,1,13.9,13.9,2016,11,8.4
571,DeMarco Murray,TEN,1,17,43,0,5,5,41,0,8.4,8.4,2016,12,15.2
658,DeMarco Murray,TEN,1,21,92,1,2,0,0,0,15.2,15.2,2016,14,14.1
712,DeMarco Murray,TEN,1,18,89,0,6,5,52,0,14.1,14.1,2016,15,6.0
791,DeMarco Murray,TEN,1,14,42,0,4,2,18,0,6.0,6.0,2016,16,6.0
884,DeMarco Murray,TEN,1,12,44,0,2,2,16,0,6.0,6.0,2017,1,18.0
957,DeMarco Murray,TEN,1,14,115,1,2,1,5,0,18.0,18.0,2017,3,3.5
1048,DeMarco Murray,TEN,1,7,31,0,2,2,4,0,3.5,3.5,2017,4,6.9
1077,DeMarco Murray,TEN,1,14,58,0,5,4,11,0,6.9,6.9,2017,5,14.7
1109,DeMarco Murray,TEN,1,12,40,1,4,4,47,0,14.7,14.7,2017,6,7.6
1172,DeMarco Murray,TEN,1,18,59,0,4,3,17,0,7.6,7.6,2017,7,4.1
1285,DeMarco Murray,TEN,1,9,19,0,2,2,22,0,4.1,4.1,2017,9,25.2
1301,DeMarco Murray,TEN,1,14,42,2,4,4,30,1,25.2,25.2,2017,10,4.7
1387,DeMarco Murray,TEN,1,8,10,0,6,5,37,0,4.7,4.7,2017,11,10.2
1418,DeMarco Murray,TEN,1,12,9,1,4,3,33,0,10.2,10.2,2017,12,7.9
1483,DeMarco Murray,TEN,1,11,66,0,2,2,13,0,7.9,7.9,2017,13,4.7
1546,DeMarco Murray,TEN,1,11,34,0,3,2,13,0,4.7,4.7,2017,14,6.3
1584,DeMarco Murray,TEN,1,18,59,0,1,1,4,0,6.3,6.3,2017,15,11.9
1617,DeMarco Murray,TEN,1,15,48,1,4,3,11,0,11.9,11.9,2017,16,
548,Denard Robinson,JAC,1,3,21,0,1,1,4,0,2.5,2.5,2016,11,3.9
593,Denard Robinson,JAC,1,13,39,0,0,0,0,0,3.9,3.9,2016,12,6.4
630,Denard Robinson,JAC,1,17,53,0,1,1,11,0,6.4,6.4,2016,13,
43,Derrick Henry,TEN,1,5,3,0,2,2,41,0,4.4,4.4,2016,1,4.9
90,Derrick Henry,TEN,1,9,40,0,1,1,9,0,4.9,4.9,2016,2,4.5
144,Derrick Henry,TEN,1,10,45,0,0,0,0,0,4.5,4.5,2016,3,5.4
233,Derrick Henry,TEN,1,7,54,0,0,0,0,0,5.4,5.4,2016,5,2.7
294,Derrick Henry,TEN,1,2,7,0,2,2,20,0,2.7,2.7,2016,6,15.7
356,Derrick Henry,TEN,1,16,60,1,5,4,37,0,15.7,15.7,2016,8,3.1
491,Derrick Henry,TEN,1,9,31,0,0,0,0,0,3.1,3.1,2016,10,12.0
561,Derrick Henry,TEN,1,8,60,1,0,0,0,0,12.0,12.0,2016,12,4.7
691,Derrick Henry,TEN,1,12,42,0,1,1,5,0,4.7,4.7,2016,14,17.8
706,Derrick Henry,TEN,1,9,58,2,0,0,0,0,17.8,17.8,2016,15,12.8
815,Derrick Henry,TEN,1,15,65,1,1,1,3,0,12.8,12.8,2016,17,15.2
908,Derrick Henry,TEN,1,14,92,1,0,0,0,0,15.2,15.2,2017,2,6.4
984,Derrick Henry,TEN,1,13,54,0,1,1,10,0,6.4,6.4,2017,3,20.5
1105,Derrick Henry,TEN,1,19,131,1,1,1,14,0,20.5,20.5,2017,6,9.6
1267,Derrick Henry,TEN,1,8,26,1,2,2,10,0,9.6,9.6,2017,9,5.2
1338,Derrick Henry,TEN,1,11,52,0,3,0,0,0,5.2,5.2,2017,10,3.2
1393,Derrick Henry,TEN,1,7,32,0,0,0,0,0,3.2,3.2,2017,11,8.9
1423,Derrick Henry,TEN,1,13,79,0,2,1,10,0,8.9,8.9,2017,12,16.9
1459,Derrick Henry,TEN,1,11,109,1,0,0,0,0,16.9,16.9,2017,13,8.0
1530,Derrick Henry,TEN,1,8,20,1,0,0,0,0,8.0,8.0,2017,14,17.7
1655,Derrick Henry,TEN,1,28,51,0,2,1,66,1,17.7,17.7,2017,17,
47,Devonta Freeman,ATL,1,11,20,0,4,4,20,0,4.0,4.0,2016,1,9.3
70,Devonta Freeman,ATL,1,17,93,0,0,0,0,0,9.3,9.3,2016,2,26.7
101,Devonta Freeman,ATL,1,14,152,0,5,5,55,1,26.7,26.7,2016,3,12.4
165,Devonta Freeman,ATL,1,13,57,1,3,2,7,0,12.4,12.4,2016,4,18.3
206,Devonta Freeman,ATL,1,23,88,1,5,3,35,0,18.3,18.3,2016,5,5.0
286,Devonta Freeman,ATL,1,12,40,0,5,3,10,0,5.0,5.0,2016,6,10.0
323,Devonta Freeman,ATL,1,15,58,0,6,5,42,0,10.0,10.0,2016,7,17.8
355,Devonta Freeman,ATL,1,11,35,1,6,4,23,1,17.8,17.8,2016,8,10.5
414,Devonta Freeman,ATL,1,17,77,0,2,2,28,0,10.5,10.5,2016,9,8.1
469,Devonta Freeman,ATL,1,12,49,0,3,3,32,0,8.1,8.1,2016,10,19.7
556,Devonta Freeman,ATL,1,16,60,2,3,2,17,0,19.7,19.7,2016,12,22.5
603,Devonta Freeman,ATL,1,15,56,2,5,4,49,0,22.5,22.5,2016,13,33.5
700,Devonta Freeman,ATL,1,20,139,3,2,2,16,0,33.5,33.5,2016,15,8.8
775,Devonta Freeman,ATL,1,13,53,0,8,8,35,0,8.8,8.8,2016,16,23.7
801,Devonta Freeman,ATL,1,12,96,1,5,5,81,0,23.7,23.7,2016,17,9.9
867,Devonta Freeman,ATL,1,12,37,1,2,2,2,0,9.9,9.9,2017,1,22.0
905,Devonta Freeman,ATL,1,19,84,2,2,2,16,0,22.0,22.0,2017,2,19.8
956,Devonta Freeman,ATL,1,21,106,1,3,3,32,0,19.8,19.8,2017,3,13.8
1014,Devonta Freeman,ATL,1,18,58,1,2,2,20,0,13.8,13.8,2017,4,7.9
1125,Devonta Freeman,ATL,1,9,68,0,4,2,11,0,7.9,7.9,2017,6,9.0
1165,Devonta Freeman,ATL,1,12,72,0,3,3,18,0,9.0,9.0,2017,7,6.1
1230,Devonta Freeman,ATL,1,12,41,0,3,1,20,0,6.1,6.1,2017,8,6.4
1277,Devonta Freeman,ATL,1,11,46,0,5,4,18,0,6.4,6.4,2017,9,8.1
1481,Devonta Freeman,ATL,1,12,74,0,2,1,7,0,8.1,8.1,2017,13,15.1
1513,Devonta Freeman,ATL,1,24,91,1,0,0,0,0,15.1,15.1,2017,14,25.4
1553,Devonta Freeman,ATL,1,22,126,1,7,5,68,0,25.4,25.4,2017,15,5.6
1639,Devonta Freeman,ATL,1,11,36,0,3,2,20,0,5.6,5.6,2017,16,16.8
1656,Devonta Freeman,ATL,1,11,23,0,11,9,85,1,16.8,16.8,2017,17,
88,Devontae Booker,DEN,1,9,46,0,1,1,5,0,5.1,5.1,2016,2,3.0
198,Devontae Booker,DEN,1,7,30,0,1,0,0,0,3.0,3.0,2016,4,5.9
231,Devontae Booker,DEN,1,6,23,0,6,4,36,0,5.9,5.9,2016,5,5.3
283,Devontae Booker,DEN,1,5,46,0,2,2,7,0,5.3,5.3,2016,6,14.7
313,Devontae Booker,DEN,1,17,83,1,2,1,4,0,14.7,14.7,2016,7,14.4
361,Devontae Booker,DEN,1,19,54,1,6,5,30,0,14.4,14.4,2016,8,3.0
441,Devontae Booker,DEN,1,10,22,0,3,1,8,0,3.0,3.0,2016,9,8.8
467,Devontae Booker,DEN,1,24,76,0,2,2,12,0,8.8,8.8,2016,10,10.1
565,Devontae Booker,DEN,1,24,79,0,2,1,22,0,10.1,10.1,2016,12,9.7
619,Devontae Booker,DEN,1,18,35,1,1,1,2,0,9.7,9.7,2016,13,7.1
785,Devontae Booker,DEN,1,5,27,0,10,6,44,0,7.1,7.1,2016,16,22.9
804,Devontae Booker,DEN,1,14,57,1,3,2,52,1,22.9,22.9,2016,17,8.0
1124,Devontae Booker,DEN,1,1,2,0,6,4,78,0,8.0,8.0,2017,6,11.4
1214,Devontae Booker,DEN,1,6,40,1,3,3,14,0,11.4,11.4,2017,8,3.0
1292,Devontae Booker,DEN,1,6,21,0,3,2,9,0,3.0,3.0,2017,9,9.8
1373,Devontae Booker,DEN,1,14,44,0,6,5,54,0,9.8,9.8,2017,11,4.9
1593,Devontae Booker,DEN,1,11,39,0,1,1,10,0,4.9,4.9,2017,15,7.1
1629,Devontae Booker,DEN,1,8,47,0,8,5,24,0,7.1,7.1,2017,16,4.6
1692,Devontae Booker,DEN,1,3,21,0,1,1,25,0,4.6,4.6,2017,17,
538,Dion Lewis,NE,1,5,23,0,5,3,26,0,4.9,4.9,2016,11,5.8
582,Dion Lewis,NE,1,6,24,0,7,4,34,0,5.8,5.8,2016,12,3.8
646,Dion Lewis,NE,1,5,27,0,5,4,11,0,3.8,3.8,2016,13,10.4
722,Dion Lewis,NE,1,18,95,0,3,2,9,0,10.4,10.4,2016,15,5.7
794,Dion Lewis,NE,1,16,52,0,1,1,5,0,5.7,5.7,2016,16,5.2
840,Dion Lewis,NE,1,11,48,0,2,2,4,0,5.2,5.2,2016,17,8.7
1028,Dion Lewis,NE,1,4,18,1,1,1,9,0,8.7,8.7,2017,4,6.3
1080,Dion Lewis,NE,1,7,53,0,2,2,10,0,6.3,6.3,2017,5,11.2
1117,Dion Lewis,NE,1,11,52,1,0,0,0,0,11.2,11.2,2017,6,8.2
1169,Dion Lewis,NE,1,13,76,0,1,1,6,0,8.2,8.2,2017,7,5.4
1235,Dion Lewis,NE,1,15,44,0,2,2,10,0,5.4,5.4,2017,8,11.5
1316,Dion Lewis,NE,1,14,55,1,0,0,0,0,11.5,11.5,2017,10,14.8
1358,Dion Lewis,NE,1,10,60,0,4,4,28,1,14.8,14.8,2017,11,11.3
1414,Dion Lewis,NE,1,15,112,0,2,1,1,0,11.3,11.3,2017,12,9.2
1478,Dion Lewis,NE,1,15,92,0,0,0,0,0,9.2,9.2,2017,13,6.7
1533,Dion Lewis,NE,1,5,17,0,5,5,50,0,6.7,6.7,2017,14,14.0
1562,Dion Lewis,NE,1,13,67,1,2,1,13,0,14.0,14.0,2017,15,27.3
1601,Dion Lewis,NE,1,24,129,1,5,5,24,1,27.3,27.3,2017,16,25.3
1650,Dion Lewis,NE,1,26,93,1,7,6,40,1,25.3,25.3,2017,17,
26,Doug Martin,TB,1,18,62,0,5,5,34,0,9.6,9.6,2016,1,10.6
463,Doug Martin,TB,1,16,33,1,2,1,13,0,10.6,10.6,2016,10,10.5
519,Doug Martin,TB,1,24,63,0,4,3,42,0,10.5,10.5,2016,11,9.0
568,Doug Martin,TB,1,23,87,0,2,2,3,0,9.0,9.0,2016,12,12.8
613,Doug Martin,TB,1,17,45,1,1,1,23,0,12.8,12.8,2016,13,14.5
661,Doug Martin,TB,1,23,66,1,2,2,19,0,14.5,14.5,2016,14,4.2
744,Doug Martin,TB,1,16,42,0,0,0,0,0,4.2,4.2,2016,15,14.2
1057,Doug Martin,TB,1,13,74,1,3,1,8,0,14.2,14.2,2017,5,12.4
1114,Doug Martin,TB,1,14,53,1,2,1,11,0,12.4,12.4,2017,6,8.0
1170,Doug Martin,TB,1,20,49,0,3,2,31,0,8.0,8.0,2017,7,7.5
1225,Doug Martin,TB,1,18,71,0,2,1,4,0,7.5,7.5,2017,8,5.1
1339,Doug Martin,TB,1,20,51,0,2,0,0,0,5.1,5.1,2017,10,4.4
1388,Doug Martin,TB,1,19,38,0,3,2,6,0,4.4,4.4,2017,11,11.0
1521,Doug Martin,TB,1,10,26,1,3,2,24,0,11.0,11.0,2017,14,
336,DuJuan Harris,SF,1,11,39,0,2,2,18,0,5.7,5.7,2016,7,20.2
404,DuJuan Harris,SF,1,10,59,0,6,5,83,1,20.2,20.2,2016,9,
41,Duke Johnson,CLE,1,3,22,0,5,3,28,0,5.0,5.0,2016,1,5.6
85,Duke Johnson,CLE,1,3,12,0,5,4,44,0,5.6,5.6,2016,2,8.1
127,Duke Johnson,CLE,1,10,69,0,7,5,12,0,8.1,8.1,2016,3,8.4
174,Duke Johnson,CLE,1,9,53,0,8,6,31,0,8.4,8.4,2016,4,2.2
246,Duke Johnson,CLE,1,4,1,0,3,2,21,0,2.2,2.2,2016,5,13.4
261,Duke Johnson,CLE,1,4,18,1,6,4,56,0,13.4,13.4,2016,6,3.3
345,Duke Johnson,CLE,1,6,15,0,5,4,18,0,3.3,3.3,2016,7,11.6
369,Duke Johnson,CLE,1,4,29,0,8,6,87,0,11.6,11.6,2016,8,4.6
435,Duke Johnson,CLE,1,5,30,0,2,2,16,0,4.6,4.6,2016,9,3.1
492,Duke Johnson,CLE,1,2,6,0,5,3,25,0,3.1,3.1,2016,10,5.6
537,Duke Johnson,CLE,1,2,10,0,4,3,46,0,5.6,5.6,2016,11,4.0
592,Duke Johnson,CLE,1,5,14,0,5,3,26,0,4.0,4.0,2016,12,4.5
693,Duke Johnson,CLE,1,4,24,0,2,1,21,0,4.5,4.5,2016,14,9.3
727,Duke Johnson,CLE,1,5,31,0,7,5,62,0,9.3,9.3,2016,15,8.0
926,Duke Johnson,CLE,1,4,21,0,6,3,59,0,8.0,8.0,2017,2,16.4
958,Duke Johnson,CLE,1,2,23,1,7,6,81,0,16.4,16.4,2017,3,12.0
1018,Duke Johnson,CLE,1,4,13,1,10,9,47,0,12.0,12.0,2017,4,14.3
1056,Duke Johnson,CLE,1,6,20,0,3,3,63,1,14.3,14.3,2017,5,3.9
1141,Duke Johnson,CLE,1,5,40,0,5,3,-1,0,3.9,3.9,2017,6,7.1
1176,Duke Johnson,CLE,1,7,26,0,7,6,45,0,7.1,7.1,2017,7,4.3
1242,Duke Johnson,CLE,1,6,33,0,5,4,10,0,4.3,4.3,2017,8,8.8
1326,Duke Johnson,CLE,1,10,54,0,6,6,34,0,8.8,8.8,2017,10,12.6
1362,Duke Johnson,CLE,1,2,10,0,6,4,56,1,12.6,12.6,2017,11,6.7
1430,Duke Johnson,CLE,1,6,35,0,5,4,32,0,6.7,6.7,2017,12,10.9
1522,Duke Johnson,CLE,1,6,8,0,4,4,41,1,10.9,10.9,2017,14,12.3
1566,Duke Johnson,CLE,1,7,23,1,7,5,40,0,12.3,12.3,2017,15,10.1
1623,Duke Johnson,CLE,1,4,20,0,7,7,81,0,10.1,10.1,2017,16,15.5
1658,Duke Johnson,CLE,1,6,20,1,6,6,75,0,15.5,15.5,2017,17,
38,Dwayne Washington,DET,1,2,1,1,0,0,0,0,6.1,6.1,2016,1,2.6
444,Dwayne Washington,DET,1,10,26,0,1,0,0,0,2.6,2.6,2016,9,4.0
644,Dwayne Washington,DET,1,7,21,0,2,2,19,0,4.0,4.0,2016,13,7.4
679,Dwayne Washington,DET,1,16,64,0,2,1,10,0,7.4,7.4,2016,14,4.0
745,Dwayne Washington,DET,1,14,31,0,4,2,9,0,4.0,4.0,2016,15,1.6
1249,Dwayne Washington,DET,1,6,12,0,1,1,4,0,1.6,1.6,2017,8,
32,Eddie Lacy,GB,1,14,61,0,2,1,17,0,7.8,7.8,2016,1,5.0
89,Eddie Lacy,GB,1,12,50,0,1,0,0,0,5.0,5.0,2016,2,10.5
120,Eddie Lacy,GB,1,17,103,0,2,1,2,0,10.5,10.5,2016,3,8.4
222,Eddie Lacy,GB,1,11,81,0,1,1,3,0,8.4,8.4,2016,5,7.1
278,Eddie Lacy,GB,1,17,65,0,1,1,6,0,7.1,7.1,2016,6,5.2
1039,Eddie Lacy,SEA,1,11,52,0,0,0,0,0,5.2,5.2,2017,4,4.3
1190,Eddie Lacy,SEA,1,11,34,0,1,1,9,0,4.3,4.3,2017,7,3.4
1289,Eddie Lacy,SEA,1,6,20,0,1,1,14,0,3.4,3.4,2017,9,6.1
1431,Eddie Lacy,SEA,1,17,46,0,3,3,15,0,6.1,6.1,2017,12,
996,Elijah McGuire,NYJ,1,7,34,0,0,0,0,0,3.4,3.4,2017,3,19.1
1006,Elijah McGuire,NYJ,1,10,93,1,2,2,38,0,19.1,19.1,2017,4,2.2
1149,Elijah McGuire,NYJ,1,10,22,0,0,0,0,0,2.2,2.2,2017,6,3.9
1286,Elijah McGuire,NYJ,1,13,30,0,1,1,9,0,3.9,3.9,2017,9,5.8
1334,Elijah McGuire,NYJ,1,8,22,0,7,4,36,0,5.8,5.8,2017,10,3.4
1448,Elijah McGuire,NYJ,1,5,21,0,1,1,13,0,3.4,3.4,2017,12,13.2
1564,Elijah McGuire,NYJ,1,4,24,0,3,3,48,1,13.2,13.2,2017,15,
1488,Elijhaa Penny,ARI,1,2,4,1,0,0,0,0,6.4,6.4,2017,13,4.5
1595,Elijhaa Penny,ARI,1,10,45,0,1,0,0,0,4.5,4.5,2017,15,9.9
1672,Elijhaa Penny,ARI,1,8,39,1,1,0,0,0,9.9,9.9,2017,17,
21,Ezekiel Elliott,DAL,1,20,51,1,2,1,1,0,11.2,11.2,2016,1,14.7
59,Ezekiel Elliott,DAL,1,21,83,1,2,2,4,0,14.7,14.7,2016,2,16.0
