,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
1250,Alvin Kamara,NO,1,10,68,1,7,6,84,1,27.2,27.2,2017,9,19.8
1303,Alvin Kamara,NO,1,12,106,1,5,5,32,0,19.8,19.8,2017,10,17.6
1356,Alvin Kamara,NO,1,8,42,0,9,6,74,1,17.6,17.6,2017,11,30.8
1400,Alvin Kamara,NO,1,5,87,1,6,6,101,1,30.8,30.8,2017,12,24.6
1450,Alvin Kamara,NO,1,9,60,2,6,5,66,0,24.6,24.6,2017,13,14.9
1561,Alvin Kamara,NO,1,12,44,0,7,6,45,1,14.9,14.9,2017,15,9.0
1625,Alvin Kamara,NO,1,12,32,0,9,7,58,0,9.0,9.0,2017,16,18.8
1654,Alvin Kamara,NO,1,9,44,1,7,6,84,0,18.8,18.8,2017,17,
7,Ameer Abdullah,DET,1,12,63,0,5,5,57,1,18.0,18.0,2016,1,3.8
97,Ameer Abdullah,DET,1,6,38,0,0,0,0,0,3.8,3.8,2016,2,4.1
892,Ameer Abdullah,DET,1,15,30,0,4,3,11,0,4.1,4.1,2017,1,8.6
925,Ameer Abdullah,DET,1,17,86,0,0,0,0,0,8.6,8.6,2017,2,8.6
976,Ameer Abdullah,DET,1,14,47,0,3,3,39,0,8.6,8.6,2017,3,16.9
1008,Ameer Abdullah,DET,1,20,94,1,4,3,15,0,16.9,16.9,2017,4,3.4
1095,Ameer Abdullah,DET,1,10,31,0,1,1,3,0,3.4,3.4,2017,5,5.4
1133,Ameer Abdullah,DET,1,14,54,0,2,0,0,0,5.4,5.4,2017,6,3.8
1244,Ameer Abdullah,DET,1,11,27,0,3,3,11,0,3.8,3.8,2017,8,11.7
1263,Ameer Abdullah,DET,1,21,48,1,1,1,9,0,11.7,11.7,2017,9,11.5
1315,Ameer Abdullah,DET,1,11,52,1,2,1,3,0,11.5,11.5,2017,10,9.5
1374,Ameer Abdullah,DET,1,11,22,0,2,2,13,1,9.5,9.5,2017,11,4.3
1441,Ameer Abdullah,DET,1,6,14,0,5,3,29,0,4.3,4.3,2017,12,8.9
1677,Ameer Abdullah,DET,1,8,18,1,2,1,11,0,8.9,8.9,2017,17,
297,Andre Ellington,ARI,1,5,25,0,0,0,0,0,2.5,2.5,2016,6,1.6
398,Andre Ellington,ARI,1,0,0,0,1,1,16,0,1.6,1.6,2016,8,3.5
899,Andre Ellington,ARI,1,0,0,0,3,2,35,0,3.5,3.5,2017,1,8.1
980,Andre Ellington,ARI,1,5,22,0,8,5,59,0,8.1,8.1,2017,3,10.4
1025,Andre Ellington,ARI,1,5,18,0,14,9,86,0,10.4,10.4,2017,4,6.3
1079,Andre Ellington,ARI,1,1,-2,0,10,9,65,0,6.3,6.3,2017,5,9.0
1323,Andre Ellington,ARI,1,2,4,1,6,3,26,0,9.0,9.0,2017,10,5.2
1492,Andre Ellington,HOU,1,2,-4,0,6,5,56,0,5.2,5.2,2017,13,
28,Andy Janovich,DEN,1,1,28,1,0,0,0,0,8.8,8.8,2016,1,6.1
1537,Andy Janovich,DEN,1,1,1,1,0,0,0,0,6.1,6.1,2017,14,
342,Antone Smith,TB,1,1,6,0,3,2,41,0,4.7,4.7,2016,7,2.5
396,Antone Smith,TB,1,4,16,0,2,1,9,0,2.5,2.5,2016,8,5.2
431,Antone Smith,TB,1,5,25,0,4,3,27,0,5.2,5.2,2016,9,
1019,Austin Ekeler,LAC,1,1,35,1,2,2,23,0,11.8,11.8,2017,4,10.4
1163,Austin Ekeler,LAC,1,7,38,0,4,4,6,1,10.4,10.4,2017,7,2.1
1248,Austin Ekeler,LAC,1,2,8,0,1,1,13,0,2.1,2.1,2017,8,23.9
1302,Austin Ekeler,LAC,1,10,42,0,5,5,77,2,23.9,23.9,2017,10,11.8
1365,Austin Ekeler,LAC,1,6,40,1,2,2,18,0,11.8,11.8,2017,11,7.0
1428,Austin Ekeler,LAC,1,6,15,0,3,3,55,0,7.0,7.0,2017,12,4.9
1544,Austin Ekeler,LAC,1,4,49,0,3,0,0,0,4.9,4.9,2017,14,
149,Benny Cunningham,LAR,1,2,29,0,1,1,10,0,3.9,3.9,2016,3,4.2
436,Benny Cunningham,LAR,1,3,10,0,6,5,32,0,4.2,4.2,2016,9,4.7
483,Benny Cunningham,LAR,1,6,40,0,5,3,7,0,4.7,4.7,2016,10,10.7
1064,Benny Cunningham,CHI,1,1,4,0,4,2,43,1,10.7,10.7,2017,5,9.3
1572,Benny Cunningham,CHI,1,0,0,0,5,4,33,1,9.3,9.3,2017,15,6.2
1633,Benny Cunningham,CHI,1,0,0,0,2,2,62,0,6.2,6.2,2017,16,
42,Bilal Powell,NYJ,1,4,41,0,4,2,7,0,4.8,4.8,2016,1,7.1
131,Bilal Powell,NYJ,1,4,30,0,7,6,41,0,7.1,7.1,2016,3,8.0
177,Bilal Powell,NYJ,1,4,26,0,9,6,54,0,8.0,8.0,2016,4,5.1
237,Bilal Powell,NYJ,1,4,10,0,8,6,41,0,5.1,5.1,2016,5,13.9
362,Bilal Powell,NYJ,1,6,76,1,3,1,3,0,13.9,13.9,2016,8,5.1
432,Bilal Powell,NYJ,1,6,22,0,4,4,29,0,5.1,5.1,2016,9,14.9
